ticker;classe;aprovado;status;motivos_reprovacao;ressalvas;data_inicial;data_final;registros;cobertura_pct;nulos_pct;maior_periodo_congelado;maior_sequencia_suspeita;linhas_suspeitas_pct;maior_intervalo_dias;maior_retorno_diario_pct;ohlc_invalido_pct;precos_nao_positivos;dias_desatualizado;erro_coleta
NG=F;COMMODITY_GAS_NATURAL;TRUE;APROVADO;;;02/01/2020;04/08/2026;1658;96.4;0.0;2.0;0.0;0.0;4.0;47.48;0.0;0.0;0.0;
ZC=F;COMMODITY_MILHO;TRUE;APROVADO;;;02/01/2020;04/08/2026;1656;96.28;0.0;2.0;0.0;0.0;4.0;17.39;0.0;0.0;0.0;
GC=F;COMMODITY_OURO;TRUE;APROVADO;;;02/01/2020;04/08/2026;1657;96.34;0.0;2.0;1.0;0.12;4.0;11.37;0.0;0.0;0.0;
BOVV11.SA;RENDA_VARIAVEL_BRASIL_IBOVESPA;TRUE;APROVADO;;;02/01/2020;04/08/2026;1640;95.35;0.0;2.0;1.0;0.06;5.0;15.02;0.0;0.0;0.0;
FIND11.SA;RENDA_VARIAVEL_FINANCEIRO;TRUE;APROVADO;;;02/01/2020;04/08/2026;1640;95.35;0.0;2.0;1.0;0.12;5.0;14.1;0.0;0.0;0.0;
MATB11.SA;RENDA_VARIAVEL_MATERIAIS;TRUE;APROVADO;;;02/01/2020;04/08/2026;1640;95.35;0.0;2.0;1.0;0.06;5.0;18.97;0.0;0.0;0.0;
USDBRL=X;MOEDA_DOLAR;TRUE;APROVADO_COM_RESSALVAS;;ohlc_invalido;01/01/2020;04/08/2026;1715;99.71;0.0;3.0;0.0;0.0;5.0;6.21;0.9329;0.0;0.0;
EURBRL=X;MOEDA_EURO;TRUE;APROVADO_COM_RESSALVAS;;ohlc_invalido;01/01/2020;04/08/2026;1715;99.71;0.0;3.0;0.0;0.0;5.0;4.95;33.236;0.0;0.0;
JPYBRL=X;MOEDA_IENE;TRUE;APROVADO_COM_RESSALVAS;;ohlc_invalido;01/01/2020;04/08/2026;1715;99.71;0.0;2.0;0.0;0.0;5.0;9.04;68.805;0.0;0.0;
IMAB11.SA;RENDA_FIXA_INFLACAO_IMAB;TRUE;APROVADO_COM_RESSALVAS;;preco_congelado, linhas_suspeitas;02/01/2020;04/08/2026;1640;95.35;0.0;910.0;958.0;58.72;5.0;36.16;0.0;0.0;0.0;
B5MB11.SA;RENDA_FIXA_INFLACAO_IMAB5;TRUE;APROVADO_COM_RESSALVAS;;preco_congelado, linhas_suspeitas;02/01/2020;04/08/2026;1640;95.35;0.0;913.0;961.0;64.57;5.0;28.6;0.0;0.0;0.0;
IB5M11.SA;RENDA_FIXA_INFLACAO_IMAB5_MAIS;TRUE;APROVADO_COM_RESSALVAS;;linhas_suspeitas;02/01/2020;04/08/2026;1640;95.35;0.0;6.0;5.0;3.6;5.0;10.0;0.0;0.0;0.0;
