data,regime_anterior,regime_macro,regime_detectado,tendencia_inflacao,tendencia_crescimento
2007-06-30,EXPANSAO_DESINFLACIONARIA,EXPANSAO_INFLACIONARIA,EXPANSAO_INFLACIONARIA,ALTA,ALTA
2009-02-28,EXPANSAO_INFLACIONARIA,RECESSAO_DESINFLACIONARIA,RECESSAO_DESINFLACIONARIA,QUEDA,QUEDA
2009-06-30,RECESSAO_DESINFLACIONARIA,EXPANSAO_DESINFLACIONARIA,EXPANSAO_DESINFLACIONARIA,QUEDA,ALTA
2010-03-31,EXPANSAO_DESINFLACIONARIA,EXPANSAO_INFLACIONARIA,EXPANSAO_INFLACIONARIA,ALTA,ALTA
2012-01-31,EXPANSAO_INFLACIONARIA,RECESSAO_DESINFLACIONARIA,RECESSAO_DESINFLACIONARIA,QUEDA,QUEDA
2012-09-30,RECESSAO_DESINFLACIONARIA,EXPANSAO_INFLACIONARIA,EXPANSAO_INFLACIONARIA,ALTA,ALTA
2013-09-30,EXPANSAO_INFLACIONARIA,EXPANSAO_DESINFLACIONARIA,EXPANSAO_DESINFLACIONARIA,QUEDA,ALTA
2014-05-31,EXPANSAO_DESINFLACIONARIA,ESTAGFLACAO,ESTAGFLACAO,ALTA,QUEDA
2016-04-30,ESTAGFLACAO,RECESSAO_DESINFLACIONARIA,RECESSAO_DESINFLACIONARIA,QUEDA,QUEDA
2017-04-30,RECESSAO_DESINFLACIONARIA,EXPANSAO_DESINFLACIONARIA,EXPANSAO_DESINFLACIONARIA,QUEDA,ALTA
2018-01-31,EXPANSAO_DESINFLACIONARIA,EXPANSAO_INFLACIONARIA,EXPANSAO_INFLACIONARIA,ALTA,ALTA
2018-07-31,EXPANSAO_INFLACIONARIA,ESTAGFLACAO,ESTAGFLACAO,ALTA,QUEDA
2018-10-31,ESTAGFLACAO,EXPANSAO_INFLACIONARIA,EXPANSAO_INFLACIONARIA,ALTA,ALTA
2019-01-31,EXPANSAO_INFLACIONARIA,EXPANSAO_DESINFLACIONARIA,EXPANSAO_DESINFLACIONARIA,QUEDA,ALTA
2019-05-31,EXPANSAO_DESINFLACIONARIA,ESTAGFLACAO,ESTAGFLACAO,ALTA,QUEDA
2019-08-31,ESTAGFLACAO,EXPANSAO_DESINFLACIONARIA,EXPANSAO_DESINFLACIONARIA,QUEDA,ALTA
2020-02-29,EXPANSAO_DESINFLACIONARIA,EXPANSAO_INFLACIONARIA,EXPANSAO_INFLACIONARIA,ALTA,ALTA
2020-05-31,EXPANSAO_INFLACIONARIA,RECESSAO_DESINFLACIONARIA,RECESSAO_DESINFLACIONARIA,QUEDA,QUEDA
2020-10-31,RECESSAO_DESINFLACIONARIA,EXPANSAO_INFLACIONARIA,EXPANSAO_INFLACIONARIA,ALTA,ALTA
2021-05-31,EXPANSAO_INFLACIONARIA,ESTAGFLACAO,ESTAGFLACAO,ALTA,QUEDA
2021-10-31,ESTAGFLACAO,EXPANSAO_INFLACIONARIA,EXPANSAO_INFLACIONARIA,ALTA,ALTA
2022-02-28,EXPANSAO_INFLACIONARIA,EXPANSAO_DESINFLACIONARIA,EXPANSAO_DESINFLACIONARIA,QUEDA,ALTA
2022-06-30,EXPANSAO_DESINFLACIONARIA,EXPANSAO_INFLACIONARIA,EXPANSAO_INFLACIONARIA,ALTA,ALTA
2022-09-30,EXPANSAO_INFLACIONARIA,EXPANSAO_DESINFLACIONARIA,EXPANSAO_DESINFLACIONARIA,QUEDA,ALTA
2024-08-31,EXPANSAO_DESINFLACIONARIA,EXPANSAO_INFLACIONARIA,EXPANSAO_INFLACIONARIA,ALTA,ALTA
2025-09-30,EXPANSAO_INFLACIONARIA,RECESSAO_DESINFLACIONARIA,RECESSAO_DESINFLACIONARIA,QUEDA,QUEDA
2025-12-31,RECESSAO_DESINFLACIONARIA,EXPANSAO_DESINFLACIONARIA,EXPANSAO_DESINFLACIONARIA,QUEDA,ALTA
