ticker,segmento,classe,status
GC=F,Commodities,COMMODITY_OURO,APROVADO
NG=F,Commodities,COMMODITY_GAS_NATURAL,APROVADO
ZC=F,Commodities,COMMODITY_MILHO,APROVADO
EURBRL=X,Moedas,MOEDA_EURO,APROVADO_COM_RESSALVAS
JPYBRL=X,Moedas,MOEDA_IENE,APROVADO_COM_RESSALVAS
USDBRL=X,Moedas,MOEDA_DOLAR,APROVADO_COM_RESSALVAS
B5MB11.SA,Renda Fixa,RENDA_FIXA_INFLACAO_IMAB5,APROVADO_COM_RESSALVAS
IB5M11.SA,Renda Fixa,RENDA_FIXA_INFLACAO_IMAB5_MAIS,APROVADO_COM_RESSALVAS
IMAB11.SA,Renda Fixa,RENDA_FIXA_INFLACAO_IMAB,APROVADO_COM_RESSALVAS
BOVV11.SA,Renda Variável,RENDA_VARIAVEL_BRASIL_IBOVESPA,APROVADO
FIND11.SA,Renda Variável,RENDA_VARIAVEL_FINANCEIRO,APROVADO
MATB11.SA,Renda Variável,RENDA_VARIAVEL_MATERIAIS,APROVADO
