ticker,segmento,meses,retorno_total,retorno_anualizado,volatilidade_anualizada,sharpe,drawdown_maximo,meses_positivos,melhor_mes,pior_mes
GC=F,Commodities,80,1.715316497212295,0.1616440404992059,0.16043231755967272,0.4316543356768349,-0.23087660790674602,0.5875,0.1095908076875789,-0.11788183261840701
MATB11.SA,Renda Variável,80,0.7283783989984345,0.08553998378331684,0.2423114795917645,0.07051825470064925,-0.3282015108444125,0.575,0.1444964416558152,-0.1976670455908648
BOVV11.SA,Renda Variável,80,0.548443903661946,0.06778624356330254,0.22428031707072293,-0.009863826477181436,-0.3598600968516117,0.5625,0.16112286905316386,-0.30105991977516644
IMAB11.SA,Renda Fixa,80,0.4856695901745225,0.06117823785942411,0.15534748710887847,-0.16121248601069776,-0.08235910224488241,0.275,0.37962264534812373,-0.07508451749334433
FIND11.SA,Renda Variável,80,0.40382411511865945,0.052196625841019584,0.2801172273092139,-0.01020098678348773,-0.36720646537749835,0.55,0.1792695551278085,-0.3311938164621636
EURBRL=X,Moedas,80,0.31147656976836546,0.04151152584789042,0.11985585903532822,-0.37891628341885286,-0.24333916295669922,0.5625,0.16108949574383202,-0.07665459985265799
B5MB11.SA,Renda Fixa,80,0.285431548950575,0.03838245917473482,0.14704380745039597,-0.32021109627832567,-0.17036681260461328,0.2125,0.30731251899403755,-0.1452014486364589
IB5M11.SA,Renda Fixa,80,0.27528550017378395,0.03714890526518033,0.09804806098157753,-0.5419522339847914,-0.12301014873534089,0.5625,0.08078696639838001,-0.12301014873534089
USDBRL=X,Moedas,80,0.27271360850421256,0.036834890432939194,0.13724730230874935,-0.34958561803699134,-0.1899026339716302,0.55,0.15784428939959216,-0.07540365841749419
NG=F,Commodities,80,0.2568332147420409,0.03488394018760621,0.6649367730462697,0.23513837142934288,-0.8068368533532653,0.525,0.5171460943307724,-0.4112744009046827
ZC=F,Commodities,80,0.18773946360157767,0.02614368779160281,0.26801047060499117,-0.12281280205952294,-0.538038496791927,0.575,0.3114754098360659,-0.24027777777777726
JPYBRL=X,Moedas,80,-0.12504395790244205,-0.019837833241856506,0.13939872444902288,-0.7348324328186534,-0.43316983945801135,0.475,0.17514302763235068,-0.11869416823631118
