transicao,data_transicao,regime_anterior,novo_regime,mes_relativo,data,retorno_estrategia,retorno_benchmark,retorno_cdi
1,2020-02-29,EXPANSAO_DESINFLACIONARIA,EXPANSAO_INFLACIONARIA,-1,2020-01-31,-0.0067258041846283,-0.0067258041846283,0.0037663336752904
1,2020-02-29,EXPANSAO_DESINFLACIONARIA,EXPANSAO_INFLACIONARIA,0,2020-02-29,-0.0208702791480732,-0.0208702791480732,0.002937286315555
1,2020-02-29,EXPANSAO_DESINFLACIONARIA,EXPANSAO_INFLACIONARIA,1,2020-03-31,-0.0636215268498781,-0.0636215268498781,0.0033836914846629
1,2020-02-29,EXPANSAO_DESINFLACIONARIA,EXPANSAO_INFLACIONARIA,2,2020-04-30,0.0497684275477665,0.0497684275477665,0.0028492490278402
1,2020-02-29,EXPANSAO_DESINFLACIONARIA,EXPANSAO_INFLACIONARIA,3,2020-05-31,0.0310950836815959,0.0310950836815959,0.0023580961930711
2,2020-05-31,EXPANSAO_INFLACIONARIA,RECESSAO_DESINFLACIONARIA,-3,2020-02-29,-0.0208702791480732,-0.0208702791480732,0.002937286315555
2,2020-05-31,EXPANSAO_INFLACIONARIA,RECESSAO_DESINFLACIONARIA,-2,2020-03-31,-0.0636215268498781,-0.0636215268498781,0.0033836914846629
2,2020-05-31,EXPANSAO_INFLACIONARIA,RECESSAO_DESINFLACIONARIA,-1,2020-04-30,0.0497684275477665,0.0497684275477665,0.0028492490278402
2,2020-05-31,EXPANSAO_INFLACIONARIA,RECESSAO_DESINFLACIONARIA,0,2020-05-31,0.0310950836815959,0.0310950836815959,0.0023580961930711
2,2020-05-31,EXPANSAO_INFLACIONARIA,RECESSAO_DESINFLACIONARIA,1,2020-06-30,0.0314123751162691,0.0314123751162691,0.0021233217736713
2,2020-05-31,EXPANSAO_INFLACIONARIA,RECESSAO_DESINFLACIONARIA,2,2020-07-31,0.0398343004827213,0.0398343004827213,0.0019434641302638
2,2020-05-31,EXPANSAO_INFLACIONARIA,RECESSAO_DESINFLACIONARIA,3,2020-08-31,0.0515055517844937,0.0515055517844937,0.0015988959789294
3,2020-10-31,RECESSAO_DESINFLACIONARIA,EXPANSAO_INFLACIONARIA,-3,2020-07-31,0.0398343004827213,0.0398343004827213,0.0019434641302638
3,2020-10-31,RECESSAO_DESINFLACIONARIA,EXPANSAO_INFLACIONARIA,-2,2020-08-31,0.0515055517844937,0.0515055517844937,0.0015988959789294
3,2020-10-31,RECESSAO_DESINFLACIONARIA,EXPANSAO_INFLACIONARIA,-1,2020-09-30,-0.005470982310879,-0.005470982310879,0.0015696620595304
3,2020-10-31,RECESSAO_DESINFLACIONARIA,EXPANSAO_INFLACIONARIA,0,2020-10-31,0.0444458025638641,0.0444458025638641,0.0015696620595304
3,2020-10-31,RECESSAO_DESINFLACIONARIA,EXPANSAO_INFLACIONARIA,1,2020-11-30,0.0142819881018703,0.0142819881018703,0.0014948604084066
3,2020-10-31,RECESSAO_DESINFLACIONARIA,EXPANSAO_INFLACIONARIA,2,2020-12-31,0.0404366032137544,0.0404366032137544,0.0016444692975896
3,2020-10-31,RECESSAO_DESINFLACIONARIA,EXPANSAO_INFLACIONARIA,3,2021-01-31,0.0154887323408328,0.0154887323408328,0.0014948604084066
4,2021-05-31,EXPANSAO_INFLACIONARIA,ESTAGFLACAO,-3,2021-02-28,-0.0005959625459094,-0.0005959625459094,0.0013452738652959
4,2021-05-31,EXPANSAO_INFLACIONARIA,ESTAGFLACAO,-2,2021-03-31,0.0124408247763787,0.0124408247763787,0.0020107988327939
4,2021-05-31,EXPANSAO_INFLACIONARIA,ESTAGFLACAO,-1,2021-04-30,0.0399611773621255,0.0399611773621255,0.002077848024335
4,2021-05-31,EXPANSAO_INFLACIONARIA,ESTAGFLACAO,0,2021-05-31,0.0033232594001511,0.0033232594001511,0.0027032626398217
4,2021-05-31,EXPANSAO_INFLACIONARIA,ESTAGFLACAO,1,2021-06-30,0.0051637889163169,0.0051637889163169,0.0030777896833165
4,2021-05-31,EXPANSAO_INFLACIONARIA,ESTAGFLACAO,2,2021-07-31,-0.0130017700933071,-0.0130017700933071,0.0035561617801918
4,2021-05-31,EXPANSAO_INFLACIONARIA,ESTAGFLACAO,3,2021-08-31,-0.0011939277259223,-0.0011939277259223,0.0042795247734248
5,2021-10-31,ESTAGFLACAO,EXPANSAO_INFLACIONARIA,-3,2021-07-31,-0.0130017700933071,-0.0130017700933071,0.0035561617801918
5,2021-10-31,ESTAGFLACAO,EXPANSAO_INFLACIONARIA,-2,2021-08-31,-0.0011939277259223,-0.0011939277259223,0.0042795247734248
