origem,arquivo,caminho,extensao,modificacao_utc,tamanho_bytes,status_atualizacao
graficos,01_atualizacao_series_macro.png,outputs/graficos/01_atualizacao_series_macro.png,.png,2026-08-04 23:57:25.550895+00:00,45546,Mesma execução provável
graficos,01_cobertura_dados_ativos.png,outputs/graficos/01_cobertura_dados_ativos.png,.png,2026-08-04 23:57:25.354205+00:00,104134,Mesma execução provável
graficos,02_08_precos_normalizados_commodities.png,outputs/graficos/02_08_precos_normalizados_commodities.png,.png,2026-08-04 23:57:33.118711+00:00,216167,Mesma execução provável
graficos,02_08_precos_normalizados_moedas.png,outputs/graficos/02_08_precos_normalizados_moedas.png,.png,2026-08-04 23:57:36.934587+00:00,269364,Mesma execução provável
graficos,02_08_precos_normalizados_renda_fixa.png,outputs/graficos/02_08_precos_normalizados_renda_fixa.png,.png,2026-08-04 23:57:39.031750+00:00,154959,Mesma execução provável
graficos,02_08_precos_normalizados_renda_variavel.png,outputs/graficos/02_08_precos_normalizados_renda_variavel.png,.png,2026-08-04 23:57:35.299289+00:00,240984,Mesma execução provável
graficos,02_09_retorno_acumulado_commodities.png,outputs/graficos/02_09_retorno_acumulado_commodities.png,.png,2026-08-04 23:57:33.466736+00:00,216683,Mesma execução provável
graficos,02_09_retorno_acumulado_moedas.png,outputs/graficos/02_09_retorno_acumulado_moedas.png,.png,2026-08-04 23:57:37.296515+00:00,269208,Mesma execução provável
graficos,02_09_retorno_acumulado_renda_fixa.png,outputs/graficos/02_09_retorno_acumulado_renda_fixa.png,.png,2026-08-04 23:57:39.328785+00:00,154774,Mesma execução provável
graficos,02_09_retorno_acumulado_renda_variavel.png,outputs/graficos/02_09_retorno_acumulado_renda_variavel.png,.png,2026-08-04 23:57:35.636702+00:00,241419,Mesma execução provável
graficos,02_10_volatilidade_movel_commodities.png,outputs/graficos/02_10_volatilidade_movel_commodities.png,.png,2026-08-04 23:57:33.803672+00:00,174471,Mesma execução provável
graficos,02_10_volatilidade_movel_moedas.png,outputs/graficos/02_10_volatilidade_movel_moedas.png,.png,2026-08-04 23:57:37.766464+00:00,224573,Mesma execução provável
graficos,02_10_volatilidade_movel_renda_fixa.png,outputs/graficos/02_10_volatilidade_movel_renda_fixa.png,.png,2026-08-04 23:57:39.626209+00:00,109957,Mesma execução provável
graficos,02_10_volatilidade_movel_renda_variavel.png,outputs/graficos/02_10_volatilidade_movel_renda_variavel.png,.png,2026-08-04 23:57:35.983550+00:00,191719,Mesma execução provável
graficos,02_11_drawdown_ativos_commodities.png,outputs/graficos/02_11_drawdown_ativos_commodities.png,.png,2026-08-04 23:57:34.232621+00:00,258434,Mesma execução provável
graficos,02_11_drawdown_ativos_moedas.png,outputs/graficos/02_11_drawdown_ativos_moedas.png,.png,2026-08-04 23:57:38.364299+00:00,268203,Mesma execução provável
graficos,02_11_drawdown_ativos_renda_fixa.png,outputs/graficos/02_11_drawdown_ativos_renda_fixa.png,.png,2026-08-04 23:57:39.925101+00:00,199988,Mesma execução provável
graficos,02_11_drawdown_ativos_renda_variavel.png,outputs/graficos/02_11_drawdown_ativos_renda_variavel.png,.png,2026-08-04 23:57:36.311420+00:00,303256,Mesma execução provável
graficos,02_12_correlacao_retornos_commodities.png,outputs/graficos/02_12_correlacao_retornos_commodities.png,.png,2026-08-04 23:57:34.813688+00:00,43715,Mesma execução provável
graficos,02_12_correlacao_retornos_consolidada.png,outputs/graficos/02_12_correlacao_retornos_consolidada.png,.png,2026-08-04 23:57:41.204377+00:00,167629,Mesma execução provável
graficos,02_12_correlacao_retornos_moedas.png,outputs/graficos/02_12_correlacao_retornos_moedas.png,.png,2026-08-04 23:57:38.727095+00:00,51268,Mesma execução provável
graficos,02_12_correlacao_retornos_renda_fixa.png,outputs/graficos/02_12_correlacao_retornos_renda_fixa.png,.png,2026-08-04 23:57:40.321867+00:00,52909,Mesma execução provável
graficos,02_12_correlacao_retornos_renda_variavel.png,outputs/graficos/02_12_correlacao_retornos_renda_variavel.png,.png,2026-08-04 23:57:36.603809+00:00,55059,Mesma execução provável
graficos,02_13_ipca_12_meses.png,outputs/graficos/02_13_ipca_12_meses.png,.png,2026-08-04 23:57:41.433500+00:00,109701,Mesma execução provável
graficos,02_14_ibc_br_dessazonalizado.png,outputs/graficos/02_14_ibc_br_dessazonalizado.png,.png,2026-08-04 23:57:41.672162+00:00,127635,Mesma execução provável
graficos,02_15_tendencias_inflacao_crescimento.png,outputs/graficos/02_15_tendencias_inflacao_crescimento.png,.png,2026-08-04 23:57:42.009839+00:00,157329,Mesma execução provável
graficos,04_desempenho_acumulado_bruto.png,outputs/graficos/04_desempenho_acumulado_bruto.png,.png,2026-08-05 00:06:12.609282+00:00,76387,Mesma execução provável
graficos,04_diferenca_carteiras.png,outputs/graficos/04_diferenca_carteiras.png,.png,2026-08-05 00:06:13.090356+00:00,32123,Mesma execução provável
graficos,04_drawdown_carteiras.png,outputs/graficos/04_drawdown_carteiras.png,.png,2026-08-05 00:06:12.846852+00:00,118478,Mesma execução provável
graficos,05_contribuicao_media_por_regime.png,outputs/graficos/05_contribuicao_media_por_regime.png,.png,2026-08-05 00:06:55.537318+00:00,95751,Atual ou posterior às bases centrais
graficos,05_desempenho_bruto_liquido.png,outputs/graficos/05_desempenho_bruto_liquido.png,.png,2026-08-05 00:06:53.806908+00:00,103687,Atual ou posterior às bases centrais
graficos,05_drawdown_liquido.png,outputs/graficos/05_drawdown_liquido.png,.png,2026-08-05 00:06:54.113154+00:00,123010,Atual ou posterior às bases centrais
graficos,05_impacto_acumulado_custos.png,outputs/graficos/05_impacto_acumulado_custos.png,.png,2026-08-05 00:06:54.455203+00:00,67555,Atual ou posterior às bases centrais
graficos,05_indice_final_por_custo.png,outputs/graficos/05_indice_final_por_custo.png,.png,2026-08-05 00:06:55.777477+00:00,89773,Atual ou posterior às bases centrais
graficos,05_retorno_liquido_medio_por_regime.png,outputs/graficos/05_retorno_liquido_medio_por_regime.png,.png,2026-08-05 00:06:55.109845+00:00,74051,Atual ou posterior às bases centrais
graficos,05_retorno_movel_12m.png,outputs/graficos/05_retorno_movel_12m.png,.png,2026-08-05 00:06:56.452894+00:00,100662,Atual ou posterior às bases centrais
graficos,05_retornos_liquidos_anuais.png,outputs/graficos/05_retornos_liquidos_anuais.png,.png,2026-08-05 00:06:56.191447+00:00,42503,Atual ou posterior às bases centrais
graficos,05_turnover_mensal.png,outputs/graficos/05_turnover_mensal.png,.png,2026-08-05 00:06:54.755093+00:00,63613,Atual ou posterior às bases centrais
graficos,05_vantagem_liquida_por_custo.png,outputs/graficos/05_vantagem_liquida_por_custo.png,.png,2026-08-05 00:06:55.987801+00:00,53400,Atual ou posterior às bases centrais
graficos,05_volatilidade_movel_12m.png,outputs/graficos/05_volatilidade_movel_12m.png,.png,2026-08-05 00:06:56.737875+00:00,110868,Atual ou posterior às bases centrais
graficos,06_02_mudancas_regime_por_confirmacao.png,outputs/graficos/06_02_mudancas_regime_por_confirmacao.png,.png,2026-08-05 00:07:53.882444+00:00,80706,Atual ou posterior às bases centrais
graficos,06_02_series_regimes_suavizados.png,outputs/graficos/06_02_series_regimes_suavizados.png,.png,2026-08-05 00:07:54.909217+00:00,155885,Atual ou posterior às bases centrais
graficos,06_03_desempenho_liquido_regimes_suavizados.png,outputs/graficos/06_03_desempenho_liquido_regimes_suavizados.png,.png,2026-08-05 00:07:56.844985+00:00,211688,Atual ou posterior às bases centrais
graficos,06_03_diferenca_liquida_vs_benchmark.png,outputs/graficos/06_03_diferenca_liquida_vs_benchmark.png,.png,2026-08-05 00:07:58.798142+00:00,134460,Atual ou posterior às bases centrais
graficos,06_03_turnover_regimes_suavizados.png,outputs/graficos/06_03_turnover_regimes_suavizados.png,.png,2026-08-05 00:07:57.995264+00:00,368294,Atual ou posterior às bases centrais
graficos,06_04_desempenho_fora_amostra.png,outputs/graficos/06_04_desempenho_fora_amostra.png,.png,2026-08-05 00:07:59.745801+00:00,194639,Atual ou posterior às bases centrais
graficos,06_04_diferenca_fora_amostra.png,outputs/graficos/06_04_diferenca_fora_amostra.png,.png,2026-08-05 00:08:00.506178+00:00,124997,Atual ou posterior às bases centrais
graficos,06_05_desempenho_teste_pesos_otimizados.png,outputs/graficos/06_05_desempenho_teste_pesos_otimizados.png,.png,2026-08-05 00:08:03.871926+00:00,195863,Atual ou posterior às bases centrais
graficos,06_05_diferenca_teste_pesos_otimizados.png,outputs/graficos/06_05_diferenca_teste_pesos_otimizados.png,.png,2026-08-05 00:08:04.331409+00:00,124997,Atual ou posterior às bases centrais
graficos,06_05_retorno_volatilidade_treino.png,outputs/graficos/06_05_retorno_volatilidade_treino.png,.png,2026-08-05 00:08:03.328991+00:00,157017,Atual ou posterior às bases centrais
