ticker,segmento,meses,retorno_total,retorno_anualizado,volatilidade_anualizada,sharpe,drawdown_maximo,meses_positivos,melhor_mes,pior_mes
MATB11.SA,Renda Variável,48,0.6729730142129815,0.1372926538800352,0.28015330419462364,0.3196542699281921,-0.3282015108444125,0.5833333333333334,0.1444964416558152,-0.1976670455908648
GC=F,Commodities,48,0.36038038854955046,0.0799784524756979,0.14216158836512355,0.0642097994517954,-0.16858098967656232,0.5208333333333334,0.09470164463364528,-0.06922467867115578
ZC=F,Commodities,48,0.21136653895277124,0.04910484642386992,0.31312723707420864,0.056299918395166675,-0.43660250534677236,0.5833333333333334,0.3114754098360659,-0.24027777777777726
NG=F,Commodities,48,0.20499526252618394,0.04772265516342311,0.710891619695355,0.2997969312922203,-0.7572038878816686,0.5208333333333334,0.5171460943307724,-0.4112744009046827
USDBRL=X,Moedas,48,0.2016282724303584,0.04699000203114356,0.1553677205839975,-0.12784730128066085,-0.18250892862667845,0.5208333333333334,0.15784428939959216,-0.07540365841749419
IB5M11.SA,Renda Fixa,48,0.1948078287884949,0.045501150096692866,0.11703278141043665,-0.22740232485900136,-0.12301014873534089,0.5416666666666666,0.08078696639838001,-0.12301014873534089
EURBRL=X,Moedas,48,0.1936368165087088,0.04524488610172939,0.13958692907353867,-0.1688603014144748,-0.24333916295669922,0.5625,0.16108949574383202,-0.07665459985265799
BOVV11.SA,Renda Variável,48,0.14587708373962527,0.03462866953032484,0.2659374974750791,-0.024481050517515802,-0.3598600968516117,0.5625,0.16112286905316386,-0.30105991977516644
IMAB11.SA,Renda Fixa,48,0.03569564600724595,0.008806885087659255,0.06489103665387633,-0.9931394283698609,-0.08235910224488241,0.3333333333333333,0.05037109357617919,-0.07508451749334433
FIND11.SA,Renda Variável,48,0.02141493729835986,0.005311269914747285,0.32020909344466525,-0.05997834907466178,-0.36720646537749835,0.5,0.1792695551278085,-0.3311938164621636
B5MB11.SA,Renda Fixa,48,-0.037707813975360716,-0.00956326502342586,0.1101344935699904,-0.7301782737665526,-0.17036681260461328,0.25,0.07273688065378314,-0.1452014486364589
JPYBRL=X,Moedas,48,-0.07631495268579791,-0.019650394700580942,0.15937197654491225,-0.5245339333793504,-0.39649338598677186,0.5416666666666666,0.17514302763235068,-0.11869416823631118
