ticker,segmento,meses,retorno_total,retorno_anualizado,volatilidade_anualizada,sharpe,drawdown_maximo,meses_positivos,melhor_mes,pior_mes
IMAB11.SA,Renda Fixa,7,0.4301886408583986,0.84666686252722,0.4904641732348026,1.18035318419954,-0.009834074568304207,0.7142857142857143,0.37962264534812373,-0.009834074568304096
B5MB11.SA,Renda Fixa,7,0.326339630375742,0.6228010476849071,0.40290387244680664,1.0385437888683955,-0.022638929532984187,0.5714285714285714,0.30731251899403755,-0.021221364727456726
BOVV11.SA,Renda Variável,7,0.10833639067507805,0.19283362652804636,0.21057473454821143,0.2911317910716685,-0.08650877093594878,0.42857142857142855,0.12534683877613806,-0.07253886010362676
FIND11.SA,Renda Variável,7,0.09011212589666795,0.1594079991394688,0.25138880489944293,0.15995315165541826,-0.1298655207297147,0.7142857142857143,0.14134072782825435,-0.07544136599884455
MATB11.SA,Renda Variável,7,0.03436934887993681,0.059639757859430764,0.2560775345048353,-0.19138253063597385,-0.15313332080098352,0.7142857142857143,0.10458800611781904,-0.08458375302670218
IB5M11.SA,Renda Fixa,7,0.02880900701755862,0.049893625822763576,0.05903111043723089,-1.406788430359546,-0.026315779808718687,0.5714285714285714,0.024818883688745963,-0.02152703535615097
ZC=F,Commodities,7,0.0005675368899014099,0.0009731175749625454,0.17531578763894712,-0.6917746770964878,-0.11188811188811043,0.5714285714285714,0.06783767413688757,-0.07610520425293754
GC=F,Commodities,7,-0.07345369507031241,-0.12259361278891545,0.2977862334583994,-0.7572024867366103,-0.23087660790674613,0.42857142857142855,0.1095908076875789,-0.11788183261840701
USDBRL=X,Moedas,7,-0.08816500102018221,-0.14633984059176508,0.1230635280101618,-2.319503450119796,-0.0468275110404468,0.42857142857142855,0.02575111266248742,-0.06821568749839968
EURBRL=X,Moedas,7,-0.10701754590351942,-0.17637270685603135,0.0718669614793652,-4.52388524270881,-0.05731001685828008,0.2857142857142857,0.005917224996895509,-0.05272945500023052
JPYBRL=X,Moedas,7,-0.11171830677171035,-0.18379129905301916,0.09053583636178923,-3.6872825162418286,-0.07538146263241652,0.2857142857142857,0.01248121420174142,-0.05063327740039569
NG=F,Commodities,7,-0.3084088470582561,-0.46855764492667784,0.6021001167598927,-0.9536995557121581,-0.3690859161099531,0.42857142857142855,0.1890133753083314,-0.3433624466104477
