numero_bloco,codigo_sgs,serie,data_inicial,data_final,status_http,status,registros,duracao_segundos,erro
1,433,IPCA,2004-01-01,2008-12-31,200,SUCESSO,60,1.2784309999988182,
2,433,IPCA,2009-01-01,2013-12-31,200,SUCESSO,60,0.7722305999996024,
3,433,IPCA,2014-01-01,2018-12-31,200,SUCESSO,60,0.6672390999992786,
4,433,IPCA,2019-01-01,2023-12-31,200,SUCESSO,60,0.6985681999994995,
5,433,IPCA,2024-01-01,2026-08-04,200,SUCESSO,30,0.037375100000645034,
1,24363,IBC_BR,2004-01-01,2008-12-31,200,SUCESSO,60,1.2495021000013367,
2,24363,IBC_BR,2009-01-01,2013-12-31,200,SUCESSO,60,0.68011370000022,
3,24363,IBC_BR,2014-01-01,2018-12-31,200,SUCESSO,60,0.745513399999254,
4,24363,IBC_BR,2019-01-01,2023-12-31,200,SUCESSO,60,0.8204358000002685,
5,24363,IBC_BR,2024-01-01,2026-08-04,200,SUCESSO,29,0.606920700000046,
1,24364,IBC_BR_DESSAZONALIZADO,2004-01-01,2008-12-31,200,SUCESSO,60,1.2289766000012605,
2,24364,IBC_BR_DESSAZONALIZADO,2009-01-01,2013-12-31,200,SUCESSO,60,0.8450205000008282,
3,24364,IBC_BR_DESSAZONALIZADO,2014-01-01,2018-12-31,200,SUCESSO,60,0.7039879000003566,
4,24364,IBC_BR_DESSAZONALIZADO,2019-01-01,2023-12-31,200,SUCESSO,60,0.6866714999996475,
5,24364,IBC_BR_DESSAZONALIZADO,2024-01-01,2026-08-04,200,SUCESSO,29,0.6950627999995049,
1,12,CDI,2004-01-01,2008-12-31,200,SUCESSO,1256,5.675553299999592,
2,12,CDI,2009-01-01,2013-12-31,200,SUCESSO,1256,5.0943211000012525,
3,12,CDI,2014-01-01,2018-12-31,200,SUCESSO,1253,5.3152539000002434,
4,12,CDI,2019-01-01,2023-12-31,200,SUCESSO,1255,5.3329252999992605,
5,12,CDI,2024-01-01,2026-08-04,200,SUCESSO,651,0.053677500000048894,
