ticker,classe,status,data_inicial,data_final,registros,duplicidades,precos_nulos,percentual_nulos,precos_nao_positivos,lacunas_dias_uteis_estimadas
B5MB11.SA,RENDA_FIXA_INFLACAO_IMAB5,ATENCAO,2020-01-02,2026-08-04,1640,0,0,0.0,0,79
BOVV11.SA,RENDA_VARIAVEL_BRASIL_IBOVESPA,ATENCAO,2020-01-02,2026-08-04,1640,0,0,0.0,0,79
EURBRL=X,MOEDA_EURO,ATENCAO,2020-01-01,2026-08-04,1715,0,0,0.0,0,5
FIND11.SA,RENDA_VARIAVEL_FINANCEIRO,ATENCAO,2020-01-02,2026-08-04,1640,0,0,0.0,0,79
GC=F,COMMODITY_OURO,ATENCAO,2020-01-02,2026-08-04,1657,0,0,0.0,0,62
IB5M11.SA,RENDA_FIXA_INFLACAO_IMAB5_MAIS,ATENCAO,2020-01-02,2026-08-04,1640,0,0,0.0,0,79
IMAB11.SA,RENDA_FIXA_INFLACAO_IMAB,ATENCAO,2020-01-02,2026-08-04,1640,0,0,0.0,0,79
JPYBRL=X,MOEDA_IENE,ATENCAO,2020-01-01,2026-08-04,1715,0,0,0.0,0,5
MATB11.SA,RENDA_VARIAVEL_MATERIAIS,ATENCAO,2020-01-02,2026-08-04,1640,0,0,0.0,0,79
NG=F,COMMODITY_GAS_NATURAL,ATENCAO,2020-01-02,2026-08-04,1658,0,0,0.0,0,61
USDBRL=X,MOEDA_DOLAR,ATENCAO,2020-01-01,2026-08-04,1715,0,0,0.0,0,5
ZC=F,COMMODITY_MILHO,ATENCAO,2020-01-02,2026-08-04,1656,0,0,0.0,0,63
