ticker,data_inicial,data_final,quantidade_observacoes,quantidade_ausencias
B5MB11.SA,2020-01-02,2026-08-04,1640,76
BOVV11.SA,2020-01-02,2026-08-04,1640,76
EURBRL=X,2020-01-01,2026-08-04,1715,1
FIND11.SA,2020-01-02,2026-08-04,1640,76
GC=F,2020-01-02,2026-08-04,1657,59
IB5M11.SA,2020-01-02,2026-08-04,1640,76
IMAB11.SA,2020-01-02,2026-08-04,1640,76
JPYBRL=X,2020-01-01,2026-08-04,1715,1
MATB11.SA,2020-01-02,2026-08-04,1640,76
NG=F,2020-01-02,2026-08-04,1658,58
USDBRL=X,2020-01-01,2026-08-04,1715,1
ZC=F,2020-01-02,2026-08-04,1656,60
