ticker,retorno_total,retorno_anualizado,volatilidade_anualizada,drawdown_maximo,media_retorno_diario,desvio_retorno_diario,melhor_dia,pior_dia,percentual_dias_positivos
B5MB11.SA,28.54%,4.04%,19.65%,-20.98%,0.02%,1.24%,28.60%,-20.82%,18.47%
BOVV11.SA,54.84%,7.14%,24.32%,-46.83%,0.04%,1.53%,13.98%,-15.02%,51.41%
EURBRL=X,31.15%,4.37%,16.07%,-28.65%,0.02%,1.01%,4.95%,-4.32%,47.71%
FIND11.SA,40.38%,5.50%,27.38%,-49.01%,0.04%,1.72%,14.10%,-9.45%,50.28%
GC=F,171.53%,17.07%,19.05%,-25.06%,0.07%,1.20%,6.08%,-11.37%,55.35%
IB5M11.SA,27.53%,3.91%,13.82%,-18.89%,0.02%,0.87%,10.00%,-10.00%,48.53%
IMAB11.SA,48.57%,6.45%,23.13%,-24.98%,0.03%,1.46%,36.16%,-24.98%,21.35%
JPYBRL=X,-12.50%,-2.09%,19.11%,-43.83%,-0.00%,1.20%,10.12%,-8.56%,48.22%
MATB11.SA,72.84%,9.02%,28.15%,-49.19%,0.05%,1.77%,11.91%,-18.97%,50.97%
NG=F,25.68%,3.67%,80.14%,-83.73%,0.14%,5.05%,46.48%,-47.48%,50.85%
USDBRL=X,27.27%,3.88%,16.32%,-22.12%,0.02%,1.03%,6.21%,-6.03%,50.03%
ZC=F,18.77%,2.75%,27.80%,-55.76%,0.03%,1.75%,12.05%,-17.39%,50.53%
