ticker,data_inicial,data_final,quantidade_registros,valor_inicial,valor_final,valor_minimo,valor_maximo,variacao_periodo
B5MB11.SA,2020-01-02,2026-08-04,1598,100.0,128.54315489505618,84.51108334909576,131.35391925784054,0.28543154895056166
BOVV11.SA,2020-01-02,2026-08-04,1598,100.0,154.84439036618855,53.535777355053185,171.52923185801197,0.5484439036618856
EURBRL=X,2020-01-02,2026-08-04,1598,100.0,131.14765697683129,100.0,155.04979630065804,0.31147656976831284
FIND11.SA,2020-01-02,2026-08-04,1598,100.0,140.38241151186065,51.24282982791587,155.28106981208174,0.4038241151186066
GC=F,2020-01-02,2026-08-04,1598,100.0,271.5316497212201,96.90390612188422,348.86191553583143,1.7153164972122013
IB5M11.SA,2020-01-02,2026-08-04,1598,100.0,127.52855001737413,83.17756587304595,130.50882276465484,0.2752855001737413
IMAB11.SA,2020-01-02,2026-08-04,1598,100.0,148.5669590174501,84.6795182270067,148.97081200073112,0.48566959017450095
JPYBRL=X,2020-01-02,2026-08-04,1598,100.0,87.49560420975267,84.03313843438956,149.6169371979108,-0.12504395790247325
MATB11.SA,2020-01-02,2026-08-04,1598,100.0,172.83783989983635,55.621621415421764,201.75676088075377,0.7283783989983634
NG=F,2020-01-02,2026-08-04,1598,100.0,125.68332147419984,69.8397741742341,456.17344019249646,0.2568332147419985
USDBRL=X,2020-01-02,2026-08-04,1598,100.0,127.27136085041634,100.0,156.86078915400023,0.2727136085041635
ZC=F,2020-01-02,2026-08-04,1598,100.0,118.77394636015326,77.33077905491699,209.00383141762453,0.1877394636015326
