ticker,data_inicial_valida,data_final_valida,observacoes_validas,volatilidade_media_pct,volatilidade_mediana_pct,volatilidade_minima_pct,volatilidade_maxima_pct,volatilidade_atual_pct
B5MB11.SA,2020-04-06,2026-08-04,1535,9.411024483256702,0.0,0.0,88.4851695224672,9.180975465437976
BOVV11.SA,2020-04-06,2026-08-04,1535,20.475455258855252,18.74687545580133,10.407379749171605,80.47918508378429,17.286837629873702
EURBRL=X,2020-04-06,2026-08-04,1535,15.548698538074866,15.209515488614118,7.708340881775119,29.05305313049173,9.468422653698866
FIND11.SA,2020-04-06,2026-08-04,1535,25.152764528323996,22.486192221307963,12.680666179640475,71.66556162337974,21.895320332840637
GC=F,2020-04-06,2026-08-04,1535,17.86998828824487,16.0831731968984,8.68925221759471,41.71970783679501,24.069070978505408
IB5M11.SA,2020-04-06,2026-08-04,1535,11.760230144524396,10.34773746674828,4.0937564052369115,45.416371665097216,8.86202201209834
IMAB11.SA,2020-04-06,2026-08-04,1535,9.690384419495311,0.0,0.0,110.59968624090008,5.963440277060104
JPYBRL=X,2020-04-06,2026-08-04,1535,18.38407038996111,17.51336364142878,8.950583463732283,36.373663640633744,11.745007656473492
MATB11.SA,2020-04-06,2026-08-04,1535,25.165292747662914,23.852310463871543,12.472244549997246,78.82910195524127,19.91190969151044
NG=F,2020-04-06,2026-08-04,1535,76.86847626195124,73.63074970805069,26.41677795792081,165.23643941753897,42.78855683094501
USDBRL=X,2020-04-06,2026-08-04,1535,15.751755841962142,15.265804941015201,8.155339039688588,33.2091667707551,11.924368413920718
ZC=F,2020-04-06,2026-08-04,1535,25.942185722567313,21.988984217181937,14.417002820806967,58.69008745061386,28.64657251258882
