ticker,data_inicial,data_final,observacoes_validas,drawdown_maximo_pct,data_drawdown_maximo,drawdown_medio_pct,drawdown_mediano_pct,drawdown_atual_pct,dias_em_drawdown,percentual_dias_em_drawdown
B5MB11.SA,2020-01-03,2026-08-04,1597,-20.97908447263559,2020-03-23,-8.975149841080091,-10.022204743978502,-2.1398405001276544,1551,97.1195992485911
BOVV11.SA,2020-01-03,2026-08-04,1597,-46.829958890383594,2020-03-23,-10.113356213029437,-8.776808293829252,-9.727112580807685,1521,95.24107701941139
EURBRL=X,2020-01-03,2026-08-04,1597,-28.654562846154196,2022-09-26,-13.590777389963508,-12.24583038983048,-15.415782473830319,1549,96.99436443331247
FIND11.SA,2020-01-03,2026-08-04,1597,-49.010652121656896,2020-03-23,-14.991767500385775,-13.731963281504644,-9.594639139369077,1546,96.80651221039449
GC=F,2020-01-03,2026-08-04,1597,-25.06016525948246,2026-07-16,-6.939100230690746,-5.5812819887886995,-22.16643960572093,1449,90.73262366938009
IB5M11.SA,2020-01-03,2026-08-04,1597,-18.894292485301488,2020-03-23,-4.275122344963545,-3.9033999049729595,-2.2835795191065045,1519,95.11584220413275
IMAB11.SA,2020-01-03,2026-08-04,1597,-24.9759056876689,2025-10-27,-3.903935882210044,-3.7413687793964923,-0.27109537623989377,1539,96.36819035691923
JPYBRL=X,2020-01-03,2026-08-04,1597,-43.83447488753773,2026-07-23,-26.207185225530996,-30.848426847219656,-41.520254425463264,1555,97.3700688791484
MATB11.SA,2020-01-03,2026-08-04,1597,-49.18518537356532,2020-03-23,-21.14597674689737,-23.590087408433313,-14.333557326492608,1543,96.61865998747652
NG=F,2020-01-03,2026-08-04,1597,-83.7293388633306,2024-03-26,-45.806586265414836,-58.966944644330724,-72.44834740462665,1532,95.92986850344396
USDBRL=X,2020-01-03,2026-08-04,1597,-22.12063404505201,2026-05-12,-11.00738596619668,-11.57754160579021,-18.863495755165573,1546,96.80651221039449
ZC=F,2020-01-03,2026-08-04,1597,-55.759242285365076,2024-08-26,-29.237087614368093,-29.422548120989855,-43.17140238313459,1540,96.43080776455855
