ativo_1,ativo_2,correlacao,correlacao_absoluta,observacoes_utilizadas
B5MB11.SA,IMAB11.SA,0.9220931845544684,0.9220931845544684,1597
JPYBRL=X,USDBRL=X,0.8161423159909943,0.8161423159909943,1597
BOVV11.SA,FIND11.SA,0.8051089091834756,0.8051089091834756,1597
EURBRL=X,USDBRL=X,0.8048593756342649,0.8048593756342649,1597
EURBRL=X,JPYBRL=X,0.7739482326791912,0.7739482326791912,1597
BOVV11.SA,MATB11.SA,0.6913725780095475,0.6913725780095475,1597
FIND11.SA,MATB11.SA,0.4171330347066514,0.4171330347066514,1597
FIND11.SA,IB5M11.SA,0.2774523466960669,0.2774523466960669,1597
BOVV11.SA,IB5M11.SA,0.2546611924143463,0.2546611924143463,1597
B5MB11.SA,IB5M11.SA,0.19708370043784487,0.19708370043784487,1597
GC=F,MATB11.SA,0.16181769577393387,0.16181769577393387,1597
B5MB11.SA,FIND11.SA,0.1377545136709618,0.1377545136709618,1597
B5MB11.SA,BOVV11.SA,0.13763306980341092,0.13763306980341092,1597
MATB11.SA,ZC=F,0.13636481760147812,0.13636481760147812,1597
BOVV11.SA,IMAB11.SA,0.13612275771067,0.13612275771067,1597
BOVV11.SA,GC=F,0.1114510571921089,0.1114510571921089,1597
IB5M11.SA,MATB11.SA,0.10645087246559362,0.10645087246559362,1597
GC=F,IB5M11.SA,0.1064242990865566,0.1064242990865566,1597
FIND11.SA,IMAB11.SA,0.1013659044889616,0.1013659044889616,1597
IB5M11.SA,IMAB11.SA,0.09945423077322812,0.09945423077322812,1597
IMAB11.SA,MATB11.SA,0.09333934739232742,0.09333934739232742,1597
BOVV11.SA,ZC=F,0.08890632058491511,0.08890632058491511,1597
GC=F,ZC=F,0.08557548823107425,0.08557548823107425,1597
FIND11.SA,GC=F,0.08473196027255671,0.08473196027255671,1597
B5MB11.SA,MATB11.SA,0.07169461903987158,0.07169461903987158,1597
NG=F,ZC=F,0.05343281876153293,0.05343281876153293,1597
MATB11.SA,NG=F,0.05268409479893456,0.05268409479893456,1597
BOVV11.SA,NG=F,0.04781901963538863,0.04781901963538863,1597
JPYBRL=X,MATB11.SA,0.04575130127091803,0.04575130127091803,1597
USDBRL=X,ZC=F,-0.04434344038978049,0.04434344038978049,1597
FIND11.SA,ZC=F,0.04413381579395531,0.04413381579395531,1597
IB5M11.SA,USDBRL=X,-0.04370191877873524,0.04370191877873524,1597
IB5M11.SA,ZC=F,0.043430826773644425,0.043430826773644425,1597
JPYBRL=X,NG=F,-0.0432349099808904,0.0432349099808904,1597
GC=F,USDBRL=X,-0.03679346598633383,0.03679346598633383,1597
EURBRL=X,NG=F,-0.035168956385296476,0.035168956385296476,1597
EURBRL=X,ZC=F,-0.03501253994119065,0.03501253994119065,1597
NG=F,USDBRL=X,-0.03384654667600983,0.03384654667600983,1597
BOVV11.SA,JPYBRL=X,0.031990437631530484,0.031990437631530484,1597
B5MB11.SA,USDBRL=X,-0.03066405264676508,0.03066405264676508,1597
B5MB11.SA,EURBRL=X,-0.02953602257960724,0.02953602257960724,1597
GC=F,IMAB11.SA,0.028731390807824518,0.028731390807824518,1597
B5MB11.SA,JPYBRL=X,-0.02715098112167902,0.02715098112167902,1597
EURBRL=X,MATB11.SA,0.027076378598104574,0.027076378598104574,1597
B5MB11.SA,GC=F,0.026765147500154313,0.026765147500154313,1597
BOVV11.SA,EURBRL=X,0.024230211104049684,0.024230211104049684,1597
EURBRL=X,IB5M11.SA,-0.02382725460795895,0.02382725460795895,1597
IMAB11.SA,JPYBRL=X,-0.023636482588805713,0.023636482588805713,1597
GC=F,NG=F,0.02325929844002481,0.02325929844002481,1597
IB5M11.SA,JPYBRL=X,-0.023205033165791356,0.023205033165791356,1597
EURBRL=X,IMAB11.SA,-0.022353268704534596,0.022353268704534596,1597
JPYBRL=X,ZC=F,-0.020437641350267027,0.020437641350267027,1597
IMAB11.SA,USDBRL=X,-0.020055425908166932,0.020055425908166932,1597
BOVV11.SA,USDBRL=X,0.019520496257632084,0.019520496257632084,1597
FIND11.SA,USDBRL=X,-0.01636114305774087,0.01636114305774087,1597
FIND11.SA,JPYBRL=X,-0.014241371258916875,0.014241371258916875,1597
EURBRL=X,GC=F,0.013803491569057844,0.013803491569057844,1597
IB5M11.SA,NG=F,0.01244116205537301,0.01244116205537301,1597
FIND11.SA,NG=F,0.011747955454487827,0.011747955454487827,1597
B5MB11.SA,ZC=F,-0.011392879288106656,0.011392879288106656,1597
IMAB11.SA,NG=F,-0.00928507515225818,0.00928507515225818,1597
GC=F,JPYBRL=X,-0.004354732354968657,0.004354732354968657,1597
MATB11.SA,USDBRL=X,0.004348586564665183,0.004348586564665183,1597
IMAB11.SA,ZC=F,-0.004039460461417944,0.004039460461417944,1597
B5MB11.SA,NG=F,-0.0018815089291499812,0.0018815089291499812,1597
EURBRL=X,FIND11.SA,0.0015298923454058941,0.0015298923454058941,1597
