metrica,portfolio_regimes_bruto,portfolio_regimes_liquido,benchmark_estatico_bruto,benchmark_estatico_liquido
quantidade_meses,77,77,77,77
retorno_total,72.69%,72.22%,72.69%,72.22%
retorno_anualizado,8.89%,8.84%,8.89%,8.84%
retorno_medio_mensal,0.74%,0.74%,0.74%,0.74%
retorno_mediano_mensal,0.54%,0.54%,0.54%,0.54%
volatilidade_anualizada,8.33%,8.33%,8.33%,8.33%
desvio_negativo_anualizado,4.43%,4.43%,4.43%,4.43%
retorno_sobre_volatilidade,1.0671,1.0612,1.0671,1.0612
sharpe_excesso_cdi,-0.1009,-0.1058,-0.1009,-0.1058
sortino_alvo_zero,2.0068,1.9936,2.0068,1.9936
maximo_drawdown,-8.84%,-8.93%,-8.84%,-8.93%
calmar,1.0056,0.9897,1.0056,0.9897
meses_positivos,61.04%,61.04%,61.04%,61.04%
melhor_mes,8.68%,8.68%,8.68%,8.68%
pior_mes,-6.36%,-6.36%,-6.36%,-6.36%
var_historico_95%,-2.45%,-2.45%,-2.45%,-2.45%
cvar_historico_95%,-4.42%,-4.42%,-4.42%,-4.42%
