periodo,quantidade_meses,retorno_total_liquido,retorno_anualizado_liquido,volatilidade_anualizada_liquida,retorno_volatilidade_liquido,maximo_drawdown_liquido,meses_positivos,melhor_mes,pior_mes,turnover_total,turnover_medio_mensal,custo_acumulado_simples,indice_final_liquido,tipo,candidato,confirmacao,rotulo_confirmacao,meses_confirmacao,alpha_encolhimento
TREINO,48,34.22%,7.64%,8.51%,0.90,-8.93%,58.33%,5.15%,-6.36%,2.20,4.58%,0.22%,134.22,ESTRATEGIA,confirmacao_1m_alpha_00,Original_1m,Confirmação de 1 mês(es),1,0%
TESTE,29,28.31%,10.86%,8.14%,1.33,-4.93%,65.52%,8.68%,-3.64%,0.57,1.96%,0.06%,128.31,ESTRATEGIA,confirmacao_1m_alpha_00,Original_1m,Confirmação de 1 mês(es),1,0%
TREINO,48,34.22%,7.64%,8.51%,0.90,-8.93%,58.33%,5.15%,-6.36%,2.20,4.58%,0.22%,134.22,ESTRATEGIA,confirmacao_1m_alpha_25,Original_1m,Confirmação de 1 mês(es),1,25%
TESTE,29,28.31%,10.86%,8.14%,1.33,-4.93%,65.52%,8.68%,-3.64%,0.57,1.96%,0.06%,128.31,ESTRATEGIA,confirmacao_1m_alpha_25,Original_1m,Confirmação de 1 mês(es),1,25%
TREINO,48,34.22%,7.64%,8.51%,0.90,-8.93%,58.33%,5.15%,-6.36%,2.20,4.58%,0.22%,134.22,ESTRATEGIA,confirmacao_1m_alpha_50,Original_1m,Confirmação de 1 mês(es),1,50%
TESTE,29,28.31%,10.86%,8.14%,1.33,-4.93%,65.52%,8.68%,-3.64%,0.57,1.96%,0.06%,128.31,ESTRATEGIA,confirmacao_1m_alpha_50,Original_1m,Confirmação de 1 mês(es),1,50%
TREINO,48,34.22%,7.64%,8.51%,0.90,-8.93%,58.33%,5.15%,-6.36%,2.20,4.58%,0.22%,134.22,ESTRATEGIA,confirmacao_1m_alpha_75,Original_1m,Confirmação de 1 mês(es),1,75%
TESTE,29,28.31%,10.86%,8.14%,1.33,-4.93%,65.52%,8.68%,-3.64%,0.57,1.96%,0.06%,128.31,ESTRATEGIA,confirmacao_1m_alpha_75,Original_1m,Confirmação de 1 mês(es),1,75%
TREINO,48,34.22%,7.64%,8.51%,0.90,-8.93%,58.33%,5.15%,-6.36%,2.20,4.58%,0.22%,134.22,ESTRATEGIA,confirmacao_1m_alpha_100,Original_1m,Confirmação de 1 mês(es),1,100%
TESTE,29,28.31%,10.86%,8.14%,1.33,-4.93%,65.52%,8.68%,-3.64%,0.57,1.96%,0.06%,128.31,ESTRATEGIA,confirmacao_1m_alpha_100,Original_1m,Confirmação de 1 mês(es),1,100%
TREINO,48,34.22%,7.64%,8.51%,0.90,-8.93%,58.33%,5.15%,-6.36%,2.20,4.58%,0.22%,134.22,ESTRATEGIA,confirmacao_2m_alpha_00,Confirmacao_2m,Confirmação de 2 mês(es),2,0%
TESTE,29,28.31%,10.86%,8.14%,1.33,-4.93%,65.52%,8.68%,-3.64%,0.57,1.96%,0.06%,128.31,ESTRATEGIA,confirmacao_2m_alpha_00,Confirmacao_2m,Confirmação de 2 mês(es),2,0%
TREINO,48,34.22%,7.64%,8.51%,0.90,-8.93%,58.33%,5.15%,-6.36%,2.20,4.58%,0.22%,134.22,ESTRATEGIA,confirmacao_2m_alpha_25,Confirmacao_2m,Confirmação de 2 mês(es),2,25%
TESTE,29,28.31%,10.86%,8.14%,1.33,-4.93%,65.52%,8.68%,-3.64%,0.57,1.96%,0.06%,128.31,ESTRATEGIA,confirmacao_2m_alpha_25,Confirmacao_2m,Confirmação de 2 mês(es),2,25%
TREINO,48,34.22%,7.64%,8.51%,0.90,-8.93%,58.33%,5.15%,-6.36%,2.20,4.58%,0.22%,134.22,ESTRATEGIA,confirmacao_2m_alpha_50,Confirmacao_2m,Confirmação de 2 mês(es),2,50%
TESTE,29,28.31%,10.86%,8.14%,1.33,-4.93%,65.52%,8.68%,-3.64%,0.57,1.96%,0.06%,128.31,ESTRATEGIA,confirmacao_2m_alpha_50,Confirmacao_2m,Confirmação de 2 mês(es),2,50%
TREINO,48,34.22%,7.64%,8.51%,0.90,-8.93%,58.33%,5.15%,-6.36%,2.20,4.58%,0.22%,134.22,ESTRATEGIA,confirmacao_2m_alpha_75,Confirmacao_2m,Confirmação de 2 mês(es),2,75%
TESTE,29,28.31%,10.86%,8.14%,1.33,-4.93%,65.52%,8.68%,-3.64%,0.57,1.96%,0.06%,128.31,ESTRATEGIA,confirmacao_2m_alpha_75,Confirmacao_2m,Confirmação de 2 mês(es),2,75%
TREINO,48,34.22%,7.64%,8.51%,0.90,-8.93%,58.33%,5.15%,-6.36%,2.20,4.58%,0.22%,134.22,ESTRATEGIA,confirmacao_2m_alpha_100,Confirmacao_2m,Confirmação de 2 mês(es),2,100%
TESTE,29,28.31%,10.86%,8.14%,1.33,-4.93%,65.52%,8.68%,-3.64%,0.57,1.96%,0.06%,128.31,ESTRATEGIA,confirmacao_2m_alpha_100,Confirmacao_2m,Confirmação de 2 mês(es),2,100%
TREINO,48,34.22%,7.64%,8.51%,0.90,-8.93%,58.33%,5.15%,-6.36%,2.20,4.58%,0.22%,134.22,ESTRATEGIA,confirmacao_3m_alpha_00,Confirmacao_3m,Confirmação de 3 mês(es),3,0%
TESTE,29,28.31%,10.86%,8.14%,1.33,-4.93%,65.52%,8.68%,-3.64%,0.57,1.96%,0.06%,128.31,ESTRATEGIA,confirmacao_3m_alpha_00,Confirmacao_3m,Confirmação de 3 mês(es),3,0%
TREINO,48,34.22%,7.64%,8.51%,0.90,-8.93%,58.33%,5.15%,-6.36%,2.20,4.58%,0.22%,134.22,ESTRATEGIA,confirmacao_3m_alpha_25,Confirmacao_3m,Confirmação de 3 mês(es),3,25%
TESTE,29,28.31%,10.86%,8.14%,1.33,-4.93%,65.52%,8.68%,-3.64%,0.57,1.96%,0.06%,128.31,ESTRATEGIA,confirmacao_3m_alpha_25,Confirmacao_3m,Confirmação de 3 mês(es),3,25%
TREINO,48,34.22%,7.64%,8.51%,0.90,-8.93%,58.33%,5.15%,-6.36%,2.20,4.58%,0.22%,134.22,ESTRATEGIA,confirmacao_3m_alpha_50,Confirmacao_3m,Confirmação de 3 mês(es),3,50%
TESTE,29,28.31%,10.86%,8.14%,1.33,-4.93%,65.52%,8.68%,-3.64%,0.57,1.96%,0.06%,128.31,ESTRATEGIA,confirmacao_3m_alpha_50,Confirmacao_3m,Confirmação de 3 mês(es),3,50%
TREINO,48,34.22%,7.64%,8.51%,0.90,-8.93%,58.33%,5.15%,-6.36%,2.20,4.58%,0.22%,134.22,ESTRATEGIA,confirmacao_3m_alpha_75,Confirmacao_3m,Confirmação de 3 mês(es),3,75%
TESTE,29,28.31%,10.86%,8.14%,1.33,-4.93%,65.52%,8.68%,-3.64%,0.57,1.96%,0.06%,128.31,ESTRATEGIA,confirmacao_3m_alpha_75,Confirmacao_3m,Confirmação de 3 mês(es),3,75%
TREINO,48,34.22%,7.64%,8.51%,0.90,-8.93%,58.33%,5.15%,-6.36%,2.20,4.58%,0.22%,134.22,ESTRATEGIA,confirmacao_3m_alpha_100,Confirmacao_3m,Confirmação de 3 mês(es),3,100%
TESTE,29,28.31%,10.86%,8.14%,1.33,-4.93%,65.52%,8.68%,-3.64%,0.57,1.96%,0.06%,128.31,ESTRATEGIA,confirmacao_3m_alpha_100,Confirmacao_3m,Confirmação de 3 mês(es),3,100%
TREINO,48,34.22%,7.64%,8.51%,0.90,-8.93%,58.33%,5.15%,-6.36%,2.20,4.58%,0.22%,134.22,BENCHMARK,Benchmark_Estatico,-,Benchmark de pesos iguais,-,-
TESTE,29,28.31%,10.86%,8.14%,1.33,-4.93%,65.52%,8.68%,-3.64%,0.57,1.96%,0.06%,128.31,BENCHMARK,Benchmark_Estatico,-,Benchmark de pesos iguais,-,-
