metrica,valor
Data final do treino,31/12/2023
Data inicial do teste,31/01/2024
Meses de treino,48
Meses de teste,29
Candidato selecionado,confirmacao_1m_alpha_00
Meses de confirmação,1
Alpha de encolhimento,0.0
Peso dos parâmetros originais,1.0
Peso da carteira de pesos iguais,0.0
Turnover limite no treino,2.19693179883929
Turnover do candidato no treino,2.19693179883929
Retorno/volatilidade no treino,0.8971977491060984
Retorno anualizado no treino,0.07636038768646958
Índice final da estratégia no teste,128.30515983295578
Índice final do benchmark no teste,128.30515983295575
Diferença do índice no teste,2.842170943040401e-14
Retorno anualizado da estratégia no teste,0.10864032468343088
Retorno anualizado do benchmark no teste,0.10864032468343088
Diferença de retorno anualizado no teste,0.0
Retorno/volatilidade da estratégia no teste,1.333922379073487
Retorno/volatilidade do benchmark no teste,1.3339223790734867
Diferença de retorno/volatilidade no teste,4.440892098500626e-16
Status fora da amostra,SUPEROU O BENCHMARK
