ordem_ajuste,regime,nome_regime,quantidade_meses_regime_treino,beta_encolhimento_adicional,quantidade_meses,retorno_total_liquido,retorno_anualizado_liquido,volatilidade_anualizada_liquida,retorno_volatilidade_liquido,maximo_drawdown_liquido,meses_positivos,turnover_total,turnover_medio_mensal,custo_acumulado_simples,indice_final_liquido,quantidade_janelas_12m,proporcao_janelas_positivas,mediana_excesso_12m,media_excesso_12m,pior_excesso_12m
1,EXPANSAO_DESINFLACIONARIA,Expansão desinflacionária,21,0.00%,48,34.22%,7.64%,8.51%,0.90,-8.93%,58.33%,2.20,4.58%,0.22%,134.22,37,24.32%,0.00%,0.00%,0.00%
1,EXPANSAO_DESINFLACIONARIA,Expansão desinflacionária,21,25.00%,48,34.22%,7.64%,8.51%,0.90,-8.93%,58.33%,2.20,4.58%,0.22%,134.22,37,24.32%,0.00%,0.00%,0.00%
1,EXPANSAO_DESINFLACIONARIA,Expansão desinflacionária,21,50.00%,48,34.22%,7.64%,8.51%,0.90,-8.93%,58.33%,2.20,4.58%,0.22%,134.22,37,0.00%,0.00%,0.00%,0.00%
1,EXPANSAO_DESINFLACIONARIA,Expansão desinflacionária,21,75.00%,48,34.22%,7.64%,8.51%,0.90,-8.93%,58.33%,2.20,4.58%,0.22%,134.22,37,0.00%,0.00%,0.00%,0.00%
1,EXPANSAO_DESINFLACIONARIA,Expansão desinflacionária,21,100.00%,48,34.22%,7.64%,8.51%,0.90,-8.93%,58.33%,2.20,4.58%,0.22%,134.22,37,0.00%,0.00%,0.00%,0.00%
2,EXPANSAO_INFLACIONARIA,Expansão inflacionária,17,0.00%,48,34.22%,7.64%,8.51%,0.90,-8.93%,58.33%,2.20,4.58%,0.22%,134.22,37,24.32%,0.00%,0.00%,0.00%
2,EXPANSAO_INFLACIONARIA,Expansão inflacionária,17,25.00%,48,34.22%,7.64%,8.51%,0.90,-8.93%,58.33%,2.20,4.58%,0.22%,134.22,37,24.32%,0.00%,0.00%,0.00%
2,EXPANSAO_INFLACIONARIA,Expansão inflacionária,17,50.00%,48,34.22%,7.64%,8.51%,0.90,-8.93%,58.33%,2.20,4.58%,0.22%,134.22,37,24.32%,0.00%,0.00%,0.00%
2,EXPANSAO_INFLACIONARIA,Expansão inflacionária,17,75.00%,48,34.22%,7.64%,8.51%,0.90,-8.93%,58.33%,2.20,4.58%,0.22%,134.22,37,24.32%,0.00%,0.00%,0.00%
2,EXPANSAO_INFLACIONARIA,Expansão inflacionária,17,100.00%,48,34.22%,7.64%,8.51%,0.90,-8.93%,58.33%,2.20,4.58%,0.22%,134.22,37,24.32%,0.00%,0.00%,0.00%
3,ESTAGFLACAO,Estagflação,5,0.00%,48,34.22%,7.64%,8.51%,0.90,-8.93%,58.33%,2.20,4.58%,0.22%,134.22,37,24.32%,0.00%,0.00%,0.00%
3,ESTAGFLACAO,Estagflação,5,25.00%,48,34.22%,7.64%,8.51%,0.90,-8.93%,58.33%,2.20,4.58%,0.22%,134.22,37,24.32%,0.00%,0.00%,0.00%
3,ESTAGFLACAO,Estagflação,5,50.00%,48,34.22%,7.64%,8.51%,0.90,-8.93%,58.33%,2.20,4.58%,0.22%,134.22,37,24.32%,0.00%,0.00%,0.00%
3,ESTAGFLACAO,Estagflação,5,75.00%,48,34.22%,7.64%,8.51%,0.90,-8.93%,58.33%,2.20,4.58%,0.22%,134.22,37,24.32%,0.00%,0.00%,0.00%
3,ESTAGFLACAO,Estagflação,5,100.00%,48,34.22%,7.64%,8.51%,0.90,-8.93%,58.33%,2.20,4.58%,0.22%,134.22,37,24.32%,0.00%,0.00%,0.00%
4,RECESSAO_DESINFLACIONARIA,Recessão desinflacionária,5,0.00%,48,34.22%,7.64%,8.51%,0.90,-8.93%,58.33%,2.20,4.58%,0.22%,134.22,37,24.32%,0.00%,0.00%,0.00%
4,RECESSAO_DESINFLACIONARIA,Recessão desinflacionária,5,25.00%,48,34.22%,7.64%,8.51%,0.90,-8.93%,58.33%,2.20,4.58%,0.22%,134.22,37,24.32%,0.00%,0.00%,0.00%
4,RECESSAO_DESINFLACIONARIA,Recessão desinflacionária,5,50.00%,48,34.22%,7.64%,8.51%,0.90,-8.93%,58.33%,2.20,4.58%,0.22%,134.22,37,24.32%,0.00%,0.00%,0.00%
4,RECESSAO_DESINFLACIONARIA,Recessão desinflacionária,5,75.00%,48,34.22%,7.64%,8.51%,0.90,-8.93%,58.33%,2.20,4.58%,0.22%,134.22,37,24.32%,0.00%,0.00%,0.00%
4,RECESSAO_DESINFLACIONARIA,Recessão desinflacionária,5,100.00%,48,34.22%,7.64%,8.51%,0.90,-8.93%,58.33%,2.20,4.58%,0.22%,134.22,37,24.32%,0.00%,0.00%,0.00%
