candidato,meses_confirmacao,quantidade_mudancas_regime_treino,peso_cdi_expansao_desinflacionaria,peso_cdi_expansao_inflacionaria,peso_cdi_estagflacao,peso_cdi_recessao_desinflacionaria,peso_cdi_medio,peso_cdi_maximo,excesso_retorno_anualizado_vs_benchmark,quantidade_meses,retorno_total_bruto,retorno_total_liquido,retorno_anualizado_liquido,volatilidade_anualizada_liquida,retorno_volatilidade_liquido,maximo_drawdown_liquido,meses_positivos,melhor_mes,pior_mes,turnover_total,turnover_medio_mensal,custo_acumulado_simples,indice_final_liquido,quantidade_janelas_12m,proporcao_janelas_12m_positivas,media_excesso_12m,mediana_excesso_12m,pior_excesso_12m,melhor_excesso_12m,respeita_limite_turnover
conf_1m_cdi_00_00_00_00,1,8,0.0,0.0,0.0,0.0,0.0,0.0,-0.0005946979827600174,48,0.34519475792903553,0.3422420049176287,0.07636038768646958,0.08510987434213857,0.8971977491060981,-0.0893304663312885,0.5833333333333334,0.051505551784493786,-0.06362152684987821,2.196931798839291,0.04576941247581856,0.002196931798839291,134.22420049176287,37,0.3783783783783784,0.0005983400425084147,-0.003853505913737676,-0.0145909746271351,0.030479602706040998,True
conf_1m_cdi_00_00_00_10,1,8,0.0,0.0,0.0,0.1,0.025,0.1,-0.0045787966910666444,48,0.3256061930597951,0.3224790819566419,0.07237628897816295,0.08338949209192122,0.8679305649011715,-0.0893304663312885,0.5833333333333334,0.04976842754776656,-0.06362152684987821,2.3612627081952535,0.049192973087401115,0.0023612627081952544,132.2479081956642,37,0.32432432432432434,-0.0034367302102837564,-0.003853505913737676,-0.0145909746271351,0.010236168829735215,False
conf_1m_cdi_00_00_00_20,1,8,0.0,0.0,0.0,0.2,0.05,0.2,-0.00856920744431644,48,0.306222186188017,0.30290441514065614,0.06838587822491315,0.08182657896356382,0.8357416268785278,-0.0893304663312885,0.5833333333333334,0.04976842754776656,-0.06362152684987821,2.5426489309548064,0.05297185272822513,0.002542648930954807,130.2904415140656,37,0.16216216216216217,-0.0074387821217206185,-0.007857645238644073,-0.02042982261631221,0.006197085470051045,False
conf_1m_cdi_00_00_00_30,1,8,0.0,0.0,0.0,0.3,0.075,0.3,-0.012563501430960855,48,0.28704147432576144,0.2835291264354367,0.06439158423826874,0.0804312955867982,0.8005787270799332,-0.0893304663312885,0.5833333333333334,0.04976842754776656,-0.06362152684987821,2.7321346828886224,0.05691947256017963,0.002732134682888623,128.35291264354368,37,0.10810810810810811,-0.011407045962132852,-0.009844966835270919,-0.03801942970043126,0.006090198550449788,False
conf_1m_cdi_00_00_00_40,1,8,0.0,0.0,0.0,0.4,0.1,0.4,-0.01656002513317656,48,0.26806279609363615,0.2643601061196581,0.060395060536053036,0.07921263032429489,0.762442306091805,-0.0893304663312885,0.5833333333333334,0.04976842754776656,-0.06362152684987821,2.9235558612812516,0.06090741377669274,0.0029235558612812516,126.43601061196581,37,0.10810810810810811,-0.015339468074858338,-0.009844966835270919,-0.05542177867555731,0.005980072795472635,False
conf_1m_cdi_00_00_00_50,1,8,0.0,0.0,0.0,0.5,0.125,0.5,-0.020558107402028236,48,0.24928489174373247,0.24539925359110426,0.05639697826720136,0.07817886091931965,0.721383985440807,-0.0893304663312885,0.5833333333333334,0.04976842754776656,-0.06362152684987821,3.114374818078465,0.06488280870996803,0.003114374818078466,124.53992535911043,37,0.10810810810810811,-0.01923538570548894,-0.010170022767284737,-0.07263514519779846,0.005869023481574809,False
conf_1m_cdi_00_00_10_00,1,8,0.0,0.0,0.1,0.0,0.025,0.1,0.0002930170349746408,48,0.3498424479347242,0.34667547629802553,0.07724810270420424,0.08484244190490675,0.9104889129757201,-0.0893304663312885,0.5833333333333334,0.051505551784493786,-0.06362152684987821,2.348407285393387,0.0489251517790289,0.002348407285393387,134.66754762980256,37,0.4864864864864865,0.0017397875064339506,-0.00285316730229912,-0.0145909746271351,0.030479602706040998,False
conf_1m_cdi_00_00_10_10,1,8,0.0,0.0,0.1,0.1,0.05,0.1,-0.0036943675098382034,48,0.3301862039605574,0.3268472757246408,0.07326071815939139,0.08311972123569485,0.881387919380201,-0.0893304663312885,0.5833333333333334,0.04976842754776656,-0.06362152684987821,2.5127381947493492,0.052348712390611445,0.00251273819474935,132.68472757246408,37,0.43243243243243246,-0.0022959094803028665,-0.00285316730229912,-0.0145909746271351,0.010236168829735215,False
conf_1m_cdi_00_00_10_20,1,8,0.0,0.0,0.1,0.2,0.07500000000000001,0.2,-0.007688069305375578,48,0.31073522473813764,0.30720795311276183,0.06926701636385402,0.08155489993704594,0.849329916624541,-0.0893304663312885,0.5833333333333334,0.04976842754776656,-0.06362152684987821,2.6941244175089025,0.05612759203143547,0.002694124417508903,130.7207953112762,37,0.2702702702702703,-0.006298588608273646,-0.008225066424507155,-0.02042982261631221,0.00996880612639206,False
conf_1m_cdi_00_00_10_30,1,8,0.0,0.0,0.1,0.3,0.1,0.3,-0.011685657536956606,48,0.2914882429158654,0.28776866716438754,0.06526942813227299,0.08015820770924825,0.8142575788248635,-0.0893304663312885,0.5833333333333334,0.04976842754776656,-0.06362152684987821,2.8836101694427185,0.06007521186338997,0.002883610169442719,128.77686671643875,37,0.24324324324324326,-0.010267481594237944,-0.009844966835270919,-0.03801942970043126,0.00986155777622777,False
