candidato,meses_confirmacao,quantidade_mudancas_regime_treino,peso_cdi_expansao_desinflacionaria,peso_cdi_expansao_inflacionaria,peso_cdi_estagflacao,peso_cdi_recessao_desinflacionaria,peso_cdi_medio,peso_cdi_maximo,excesso_retorno_anualizado_vs_benchmark,quantidade_meses,retorno_total_bruto,retorno_total_liquido,retorno_anualizado_liquido,volatilidade_anualizada_liquida,retorno_volatilidade_liquido,maximo_drawdown_liquido,meses_positivos,melhor_mes,pior_mes,turnover_total,turnover_medio_mensal,custo_acumulado_simples,indice_final_liquido,quantidade_janelas_12m,proporcao_janelas_12m_positivas,media_excesso_12m,mediana_excesso_12m,pior_excesso_12m,melhor_excesso_12m,respeita_limite_turnover
conf_1m_cdi_00_00_00_00,1,8,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-0.06%,48,34.52%,34.22%,7.64%,8.51%,0.90,-8.93%,58.33%,0.051505551784493786,-0.06362152684987821,2.20,4.58%,0.22%,134.22,37,37.84%,0.06%,-0.39%,-1.46%,3.05%,True
conf_1m_cdi_00_00_00_10,1,8,0.00%,0.00%,0.00%,10.00%,2.50%,10.00%,-0.46%,48,32.56%,32.25%,7.24%,8.34%,0.87,-8.93%,58.33%,0.04976842754776656,-0.06362152684987821,2.36,4.92%,0.24%,132.25,37,32.43%,-0.34%,-0.39%,-1.46%,1.02%,False
conf_1m_cdi_00_00_00_20,1,8,0.00%,0.00%,0.00%,20.00%,5.00%,20.00%,-0.86%,48,30.62%,30.29%,6.84%,8.18%,0.84,-8.93%,58.33%,0.04976842754776656,-0.06362152684987821,2.54,5.30%,0.25%,130.29,37,16.22%,-0.74%,-0.79%,-2.04%,0.62%,False
conf_1m_cdi_00_00_00_30,1,8,0.00%,0.00%,0.00%,30.00%,7.50%,30.00%,-1.26%,48,28.70%,28.35%,6.44%,8.04%,0.80,-8.93%,58.33%,0.04976842754776656,-0.06362152684987821,2.73,5.69%,0.27%,128.35,37,10.81%,-1.14%,-0.98%,-3.80%,0.61%,False
conf_1m_cdi_00_00_00_40,1,8,0.00%,0.00%,0.00%,40.00%,10.00%,40.00%,-1.66%,48,26.81%,26.44%,6.04%,7.92%,0.76,-8.93%,58.33%,0.04976842754776656,-0.06362152684987821,2.92,6.09%,0.29%,126.44,37,10.81%,-1.53%,-0.98%,-5.54%,0.60%,False
conf_1m_cdi_00_00_00_50,1,8,0.00%,0.00%,0.00%,50.00%,12.50%,50.00%,-2.06%,48,24.93%,24.54%,5.64%,7.82%,0.72,-8.93%,58.33%,0.04976842754776656,-0.06362152684987821,3.11,6.49%,0.31%,124.54,37,10.81%,-1.92%,-1.02%,-7.26%,0.59%,False
conf_1m_cdi_00_00_10_00,1,8,0.00%,0.00%,10.00%,0.00%,2.50%,10.00%,0.03%,48,34.98%,34.67%,7.72%,8.48%,0.91,-8.93%,58.33%,0.051505551784493786,-0.06362152684987821,2.35,4.89%,0.23%,134.67,37,48.65%,0.17%,-0.29%,-1.46%,3.05%,False
conf_1m_cdi_00_00_10_10,1,8,0.00%,0.00%,10.00%,10.00%,5.00%,10.00%,-0.37%,48,33.02%,32.68%,7.33%,8.31%,0.88,-8.93%,58.33%,0.04976842754776656,-0.06362152684987821,2.51,5.23%,0.25%,132.68,37,43.24%,-0.23%,-0.29%,-1.46%,1.02%,False
conf_1m_cdi_00_00_10_20,1,8,0.00%,0.00%,10.00%,20.00%,7.50%,20.00%,-0.77%,48,31.07%,30.72%,6.93%,8.16%,0.85,-8.93%,58.33%,0.04976842754776656,-0.06362152684987821,2.69,5.61%,0.27%,130.72,37,27.03%,-0.63%,-0.82%,-2.04%,1.00%,False
conf_1m_cdi_00_00_10_30,1,8,0.00%,0.00%,10.00%,30.00%,10.00%,30.00%,-1.17%,48,29.15%,28.78%,6.53%,8.02%,0.81,-8.93%,58.33%,0.04976842754776656,-0.06362152684987821,2.88,6.01%,0.29%,128.78,37,24.32%,-1.03%,-0.98%,-3.80%,0.99%,False
conf_1m_cdi_00_00_10_40,1,8,0.00%,0.00%,10.00%,40.00%,12.50%,40.00%,-1.57%,48,27.24%,26.85%,6.13%,7.89%,0.78,-8.93%,58.33%,0.04976842754776656,-0.06362152684987821,3.08,6.41%,0.31%,126.85,37,21.62%,-1.42%,-0.98%,-5.54%,0.98%,False
conf_1m_cdi_00_00_10_50,1,8,0.00%,0.00%,10.00%,50.00%,15.00%,50.00%,-1.97%,48,25.36%,24.95%,5.73%,7.79%,0.74,-8.93%,58.33%,0.04976842754776656,-0.06362152684987821,3.27,6.80%,0.33%,124.95,37,21.62%,-1.81%,-1.02%,-7.26%,0.96%,False
conf_1m_cdi_00_00_20_00,1,8,0.00%,0.00%,20.00%,0.00%,5.00%,20.00%,0.12%,48,35.45%,35.11%,7.81%,8.46%,0.92,-8.93%,58.33%,0.051505551784493786,-0.06362152684987821,2.54,5.29%,0.25%,135.11,37,48.65%,0.29%,-0.08%,-1.46%,3.05%,False
conf_1m_cdi_00_00_20_10,1,8,0.00%,0.00%,20.00%,10.00%,7.50%,20.00%,-0.28%,48,33.48%,33.12%,7.41%,8.29%,0.89,-8.93%,58.33%,0.04976842754776656,-0.06362152684987821,2.70,5.63%,0.27%,133.12,37,43.24%,-0.12%,-0.14%,-1.46%,1.38%,False
conf_1m_cdi_00_00_20_20,1,8,0.00%,0.00%,20.00%,20.00%,10.00%,20.00%,-0.68%,48,31.53%,31.15%,7.01%,8.13%,0.86,-8.93%,58.33%,0.04976842754776656,-0.06362152684987821,2.89,6.01%,0.29%,131.15,37,27.03%,-0.52%,-0.86%,-2.04%,1.37%,False
conf_1m_cdi_00_00_20_30,1,8,0.00%,0.00%,20.00%,30.00%,12.50%,30.00%,-1.08%,48,29.59%,29.20%,6.61%,7.99%,0.83,-8.93%,58.33%,0.04976842754776656,-0.06362152684987821,3.08,6.41%,0.31%,129.20,37,27.03%,-0.91%,-0.98%,-3.80%,1.36%,False
conf_1m_cdi_00_00_20_40,1,8,0.00%,0.00%,20.00%,40.00%,15.00%,40.00%,-1.48%,48,27.68%,27.27%,6.21%,7.87%,0.79,-8.93%,58.33%,0.04976842754776656,-0.06362152684987821,3.27,6.81%,0.33%,127.27,37,21.62%,-1.31%,-0.98%,-5.54%,1.35%,False
conf_1m_cdi_00_00_20_50,1,8,0.00%,0.00%,20.00%,50.00%,17.50%,50.00%,-1.88%,48,25.79%,25.36%,5.81%,7.77%,0.75,-8.93%,58.33%,0.04976842754776656,-0.06362152684987821,3.46,7.20%,0.35%,125.36,37,21.62%,-1.70%,-0.98%,-7.26%,1.34%,False
conf_1m_cdi_00_00_30_00,1,8,0.00%,0.00%,30.00%,0.00%,7.50%,30.00%,0.20%,48,35.91%,35.54%,7.90%,8.44%,0.94,-8.93%,60.42%,0.051505551784493786,-0.06362152684987821,2.73,5.69%,0.27%,135.54,37,56.76%,0.40%,0.27%,-1.46%,3.05%,False
conf_1m_cdi_00_00_30_10,1,8,0.00%,0.00%,30.00%,10.00%,10.00%,30.00%,-0.20%,48,33.94%,33.55%,7.50%,8.27%,0.91,-8.93%,60.42%,0.04976842754776656,-0.06362152684987821,2.90,6.03%,0.29%,133.55,37,51.35%,-0.00%,0.03%,-1.46%,1.76%,False
conf_1m_cdi_00_00_30_20,1,8,0.00%,0.00%,30.00%,20.00%,12.50%,30.00%,-0.60%,48,31.98%,31.57%,7.10%,8.11%,0.88,-8.93%,60.42%,0.04976842754776656,-0.06362152684987821,3.08,6.41%,0.31%,131.57,37,37.84%,-0.40%,-0.90%,-2.04%,1.75%,False
conf_1m_cdi_00_00_30_30,1,8,0.00%,0.00%,30.00%,30.00%,15.00%,30.00%,-1.00%,48,30.04%,29.62%,6.70%,7.97%,0.84,-8.93%,60.42%,0.04976842754776656,-0.06362152684987821,3.27,6.81%,0.33%,129.62,37,35.14%,-0.80%,-0.96%,-3.80%,1.74%,False
