periodo,cenario,rotulo,quantidade_meses,retorno_total_bruto,retorno_total_liquido,retorno_anualizado_liquido,volatilidade_anualizada_liquida,retorno_volatilidade,sharpe_excesso_cdi,sortino_excesso_cdi,calmar,maximo_drawdown,meses_positivos,melhor_mes,pior_mes,turnover_total,turnover_medio_mensal,custo_acumulado_simples,indice_final_liquido,diferenca_indice_vs_benchmark
TREINO,MODELO_COM_CDI,Modelo com CDI,48,38.27%,37.97%,8.38%,5.11%,1.64,0.08,0.11,1.66,-5.05%,68.75%,3.65%,-3.68%,2.15,4.48%,0.22%,137.97,3.45
TREINO,MODELO_ANTERIOR_SEM_CDI,Modelo anterior sem CDI,48,34.52%,34.22%,7.64%,8.51%,0.90,-0.00,-0.01,0.85,-8.93%,58.33%,5.15%,-6.36%,2.20,4.58%,0.22%,134.22,-0.30
TREINO,BENCHMARK_5_ATIVOS,Benchmark de pesos iguais,48,34.81%,34.52%,7.70%,7.83%,0.98,-0.01,-0.01,0.94,-8.19%,58.33%,4.77%,-5.85%,2.13,4.44%,0.21%,134.52,0.00
TREINO,CARTEIRA_ESTATICA,Carteira estática,48,35.75%,35.50%,7.89%,4.98%,1.58,-0.01,-0.01,1.56,-5.05%,68.75%,3.15%,-3.68%,1.82,3.79%,0.18%,135.50,0.98
TREINO,CDI_100,100% CDI,48,36.32%,36.19%,8.03%,1.34%,6.00,-0.50,-0.50,-,0.00%,100.00%,1.17%,0.13%,1.00,2.08%,0.10%,136.19,1.67
AVALIACAO,MODELO_COM_CDI,Modelo com CDI,29,31.96%,31.89%,12.14%,5.25%,2.31,-0.10,-0.16,5.35,-2.27%,79.31%,6.43%,-1.80%,0.55,1.90%,0.06%,131.89,3.09
AVALIACAO,MODELO_ANTERIOR_SEM_CDI,Modelo anterior sem CDI,29,28.38%,28.31%,10.86%,8.14%,1.33,-0.18,-0.28,2.21,-4.93%,65.52%,8.68%,-3.64%,0.57,1.96%,0.06%,128.31,-0.49
AVALIACAO,BENCHMARK_5_ATIVOS,Benchmark de pesos iguais,29,28.87%,28.80%,11.04%,7.52%,1.47,-0.18,-0.28,2.50,-4.42%,65.52%,8.10%,-3.28%,0.54,1.85%,0.05%,128.80,0.00
AVALIACAO,CARTEIRA_ESTATICA,Carteira estática,29,30.81%,30.76%,11.74%,4.89%,2.40,-0.18,-0.28,5.17,-2.27%,79.31%,5.68%,-1.80%,0.39,1.34%,0.04%,130.76,1.96
AVALIACAO,CDI_100,100% CDI,29,33.93%,33.93%,12.85%,0.53%,24.28,4.62,∞,-,0.00%,100.00%,1.28%,0.79%,0.00,0.00%,0.00%,133.93,5.14
