ativo,peso,origem
NG=F,0.04999999999999998,Média dos pesos-alvo do modelo durante o treino
ZC=F,0.04999999999999998,Média dos pesos-alvo do modelo durante o treino
GC=F,0.04999999999999998,Média dos pesos-alvo do modelo durante o treino
USDBRL=X,0.04999999999999998,Média dos pesos-alvo do modelo durante o treino
EURBRL=X,0.04999999999999998,Média dos pesos-alvo do modelo durante o treino
JPYBRL=X,0.04999999999999998,Média dos pesos-alvo do modelo durante o treino
IMAB11.SA,0.04999999999999998,Média dos pesos-alvo do modelo durante o treino
B5MB11.SA,0.04999999999999998,Média dos pesos-alvo do modelo durante o treino
IB5M11.SA,0.04999999999999998,Média dos pesos-alvo do modelo durante o treino
BOVV11.SA,0.04999999999999998,Média dos pesos-alvo do modelo durante o treino
FIND11.SA,0.04999999999999998,Média dos pesos-alvo do modelo durante o treino
MATB11.SA,0.04999999999999998,Média dos pesos-alvo do modelo durante o treino
CDI,0.3999999999999999,Média dos pesos-alvo do modelo durante o treino
