data,retorno_12m_modelo,retorno_12m_modelo_anterior,retorno_12m_benchmark,retorno_12m_cdi,excesso_modelo_vs_benchmark,excesso_modelo_vs_anterior,excesso_modelo_vs_cdi
2024-01-31,,,,,,,
2024-02-29,,,,,,,
2024-03-31,,,,,,,
2024-04-30,,,,,,,
2024-05-31,,,,,,,
2024-06-30,,,,,,,
2024-07-31,,,,,,,
2024-08-31,,,,,,,
2024-09-30,,,,,,,
2024-10-31,,,,,,,
2024-11-30,,,,,,,
2024-12-31,0.09385576329920298,0.08307294211576965,0.08519883622598434,0.10875983174468717,0.008656927073218634,0.010782821183433322,-0.014904068445484198
2025-01-31,0.11514463965980526,0.11852518762506703,0.11790871185972707,0.10927059158334118,-0.0027640721999218076,-0.003380547965261771,0.005874048076464078
2025-02-28,0.13142617328679496,0.1445740277460854,0.14206280192290355,0.11130779187969098,-0.010636628636108592,-0.013147854459290453,0.02011838140710398
2025-03-31,0.1462795502450993,0.1685965490875445,0.16430750161914442,0.11276654012928011,-0.018027951374045115,-0.0223169988424452,0.0335130101158192
2025-04-30,0.14593733763107242,0.16670998413390903,0.16272287236348904,0.1146244686830149,-0.016785534732416618,-0.02077264650283661,0.031312868948057515
2025-05-31,0.13250106057029076,0.1417298885385454,0.13998270008720004,0.11801075165963937,-0.0074816395169092775,-0.009228827968254638,0.014490308910651395
2025-06-30,0.1259967218674094,0.1284564458479147,0.12801996515624858,0.12143521446630001,-0.0020232432888391827,-0.002459723980505313,0.004561507401109388
2025-07-31,0.1129766429101493,0.10383175379319742,0.10563831793931922,0.12553177783396996,0.00733832497083009,0.009144889116951882,-0.012555134923820654
2025-08-31,0.10355419910700969,0.08627238704830886,0.08962161138839786,0.12884188998162371,0.013932587718611833,0.01728181205870083,-0.02528769087461402
2025-09-30,0.09743066656575894,0.07363304841032625,0.0782082008400431,0.13314937800432314,0.019222465725715843,0.023797618155432687,-0.0357187114385642
2025-10-31,0.12536852133739695,0.11694465010576849,0.1186040798755088,0.13705395468211412,0.006764441461888149,0.008423871231628466,-0.011685433344717167
2025-11-30,0.13661961156073632,0.12959487002464187,0.13052961605228175,0.1399837903616008,0.006089995508454571,0.007024741536094448,-0.0033641788008644813
2025-12-31,0.13624782477609032,0.12776979135474908,0.1290919053840518,0.14324226892248992,0.007155919392038523,0.008478033421341236,-0.006994444146399603
2026-01-31,0.20787146108821086,0.23162336898277203,0.22508993510540343,0.14495073757409926,-0.017218474017192564,-0.023751907894561164,0.0629207235141116
2026-02-28,0.19392904850424442,0.20800317426370585,0.20341074918873492,0.1450833870702064,-0.009481700684490502,-0.014074125759461431,0.04884566143403801
2026-03-31,0.16073357033215618,0.15056409815912875,0.1507281885437295,0.1478963512305309,0.010005381788426693,0.010169472173027438,0.012837219101625275
2026-04-30,0.15445864893768668,0.1398999740582587,0.140919750553139,0.1482845888865716,0.013538898384547693,0.014558674879427969,0.006174060051115093
2026-05-31,0.15303215405477455,0.13804133254187678,0.13914624964689493,0.1475427420569584,0.013885904407879623,0.014990821512897767,0.005489411997816163
