numero_recalibracao,data_final_treino,data_inicial_aplicacao,data_final_aplicacao,regime,nome_regime,meses_confirmacao,peso_NG=F,peso_ZC=F,peso_GC=F,peso_USDBRL=X,peso_EURBRL=X,peso_JPYBRL=X,peso_IMAB11.SA,peso_B5MB11.SA,peso_IB5M11.SA,peso_BOVV11.SA,peso_FIND11.SA,peso_MATB11.SA,peso_CDI,soma_pesos
1,2023-12-31,2024-01-31,2024-12-31,EXPANSAO_DESINFLACIONARIA,Expansão desinflacionária,2,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.4,1.0
1,2023-12-31,2024-01-31,2024-12-31,EXPANSAO_INFLACIONARIA,Expansão inflacionária,2,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.4,1.0
1,2023-12-31,2024-01-31,2024-12-31,ESTAGFLACAO,Estagflação,2,0.04166666666666667,0.04166666666666667,0.04166666666666667,0.04166666666666667,0.04166666666666667,0.04166666666666667,0.04166666666666667,0.04166666666666667,0.04166666666666667,0.04166666666666667,0.04166666666666667,0.04166666666666667,0.5,1.0
1,2023-12-31,2024-01-31,2024-12-31,RECESSAO_DESINFLACIONARIA,Recessão desinflacionária,2,0.058333333333333334,0.058333333333333334,0.058333333333333334,0.058333333333333334,0.058333333333333334,0.058333333333333334,0.058333333333333334,0.058333333333333334,0.058333333333333334,0.058333333333333334,0.058333333333333334,0.058333333333333334,0.3,1.0
2,2024-12-31,2025-01-31,2025-12-31,EXPANSAO_DESINFLACIONARIA,Expansão desinflacionária,2,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.4,1.0
2,2024-12-31,2025-01-31,2025-12-31,EXPANSAO_INFLACIONARIA,Expansão inflacionária,2,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.4,1.0
2,2024-12-31,2025-01-31,2025-12-31,ESTAGFLACAO,Estagflação,2,0.04166666666666667,0.04166666666666667,0.04166666666666667,0.04166666666666667,0.04166666666666667,0.04166666666666667,0.04166666666666667,0.04166666666666667,0.04166666666666667,0.04166666666666667,0.04166666666666667,0.04166666666666667,0.5,1.0
2,2024-12-31,2025-01-31,2025-12-31,RECESSAO_DESINFLACIONARIA,Recessão desinflacionária,2,0.058333333333333334,0.058333333333333334,0.058333333333333334,0.058333333333333334,0.058333333333333334,0.058333333333333334,0.058333333333333334,0.058333333333333334,0.058333333333333334,0.058333333333333334,0.058333333333333334,0.058333333333333334,0.3,1.0
3,2025-12-31,2026-01-31,2026-05-31,EXPANSAO_DESINFLACIONARIA,Expansão desinflacionária,2,0.04166666666666667,0.04166666666666667,0.04166666666666667,0.04166666666666667,0.04166666666666667,0.04166666666666667,0.04166666666666667,0.04166666666666667,0.04166666666666667,0.04166666666666667,0.04166666666666667,0.04166666666666667,0.5,1.0
3,2025-12-31,2026-01-31,2026-05-31,EXPANSAO_INFLACIONARIA,Expansão inflacionária,2,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.4,1.0
3,2025-12-31,2026-01-31,2026-05-31,ESTAGFLACAO,Estagflação,2,0.04166666666666667,0.04166666666666667,0.04166666666666667,0.04166666666666667,0.04166666666666667,0.04166666666666667,0.04166666666666667,0.04166666666666667,0.04166666666666667,0.04166666666666667,0.04166666666666667,0.04166666666666667,0.5,1.0
3,2025-12-31,2026-01-31,2026-05-31,RECESSAO_DESINFLACIONARIA,Recessão desinflacionária,2,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.4,1.0
