ano,cenario,rotulo,quantidade_meses,retorno_liquido,retorno_benchmark,excesso_vs_benchmark,superou_benchmark
2024,WALK_FORWARD,Modelo walk-forward,12,0.09385576329920298,0.08519883622598434,0.008656927073218634,True
2024,MODELO_FIXO_CELULA_9,Modelo fixo da Célula 9,12,0.09385576329920298,0.08519883622598434,0.008656927073218634,True
2024,MODELO_ANTERIOR_SEM_CDI,Modelo anterior sem CDI,12,0.08307294211576965,0.08519883622598434,-0.0021258941102146878,False
2024,BENCHMARK_5_ATIVOS,Benchmark de pesos iguais,12,0.08519883622598434,0.08519883622598434,0.0,False
2024,CARTEIRA_ESTATICA,Carteira estática,12,0.09385576329920298,0.08519883622598434,0.008656927073218634,True
2024,CDI_100,100% CDI,12,0.10875983174468717,0.08519883622598434,0.023560995518702832,True
2025,WALK_FORWARD,Modelo walk-forward,12,0.13624782477609032,0.1290919053840518,0.007155919392038523,True
2025,MODELO_FIXO_CELULA_9,Modelo fixo da Célula 9,12,0.13624782477609032,0.1290919053840518,0.007155919392038523,True
2025,MODELO_ANTERIOR_SEM_CDI,Modelo anterior sem CDI,12,0.12776979135474908,0.1290919053840518,-0.0013221140293027123,False
2025,BENCHMARK_5_ATIVOS,Benchmark de pesos iguais,12,0.1290919053840518,0.1290919053840518,0.0,False
2025,CARTEIRA_ESTATICA,Carteira estática,12,0.13440433697415632,0.1290919053840518,0.005312431590104527,True
2025,CDI_100,100% CDI,12,0.14324226892248992,0.1290919053840518,0.014150363538438127,True
2026,WALK_FORWARD,Modelo walk-forward,5,0.06176865241849128,0.05114875605349556,0.010619896364995718,True
2026,MODELO_FIXO_CELULA_9,Modelo fixo da Célula 9,5,0.06115658961909909,0.05114875605349556,0.01000783356560353,True
2026,MODELO_ANTERIOR_SEM_CDI,Modelo anterior sem CDI,5,0.05042719891341041,0.05114875605349556,-0.0007215571400851495,False
2026,BENCHMARK_5_ATIVOS,Benchmark de pesos iguais,5,0.05114875605349556,0.05114875605349556,0.0,False
2026,CARTEIRA_ESTATICA,Carteira estática,5,0.05373960270421496,0.05114875605349556,0.002590846650719403,True
2026,CDI_100,100% CDI,5,0.0566056848875105,0.05114875605349556,0.00545692883401494,True
