ano,periodo,quantidade_meses,cenario,modelo,retorno_liquido,retorno_benchmark,excesso_vs_benchmark,superou_benchmark
2024,2024,12,WALK_FORWARD,Modelo oficial — Modelo walk-forward com CDI,0.09385576329920342,0.08519883622598434,0.008656927073219078,True
2024,2024,12,MODELO_FIXO_CELULA_9,Modelo fixo com CDI,0.09385576329920342,0.08519883622598434,0.008656927073219078,True
2024,2024,12,MODELO_ANTERIOR_SEM_CDI,Challenger — Modelo anterior sem CDI,0.08307294211576988,0.08519883622598434,-0.0021258941102144657,False
2024,2024,12,BENCHMARK_5_ATIVOS,Benchmark de cinco ativos,0.08519883622598434,0.08519883622598434,0.0,False
2024,2024,12,CARTEIRA_ESTATICA,Carteira estática,0.09385576329920342,0.08519883622598434,0.008656927073219078,True
2024,2024,12,CDI_100,100% CDI,0.10875983174468717,0.08519883622598434,0.023560995518702832,True
2025,2025,12,WALK_FORWARD,Modelo oficial — Modelo walk-forward com CDI,0.13624782477609032,0.12909190538405202,0.007155919392038301,True
2025,2025,12,MODELO_FIXO_CELULA_9,Modelo fixo com CDI,0.13624782477609032,0.12909190538405202,0.007155919392038301,True
2025,2025,12,MODELO_ANTERIOR_SEM_CDI,Challenger — Modelo anterior sem CDI,0.12776979135474908,0.12909190538405202,-0.0013221140293029343,False
2025,2025,12,BENCHMARK_5_ATIVOS,Benchmark de cinco ativos,0.12909190538405202,0.12909190538405202,0.0,False
2025,2025,12,CARTEIRA_ESTATICA,Carteira estática,0.13440433697415632,0.12909190538405202,0.005312431590104305,True
2025,2025,12,CDI_100,100% CDI,0.14324226892248992,0.12909190538405202,0.014150363538437905,True
2026,2026 — parcial (5 meses),5,WALK_FORWARD,Modelo oficial — Modelo walk-forward com CDI,0.06176865241849128,0.05114875605349578,0.010619896364995496,True
2026,2026 — parcial (5 meses),5,MODELO_FIXO_CELULA_9,Modelo fixo com CDI,0.06115658961909909,0.05114875605349578,0.010007833565603308,True
2026,2026 — parcial (5 meses),5,MODELO_ANTERIOR_SEM_CDI,Challenger — Modelo anterior sem CDI,0.05042719891341063,0.05114875605349578,-0.0007215571400851495,False
2026,2026 — parcial (5 meses),5,BENCHMARK_5_ATIVOS,Benchmark de cinco ativos,0.05114875605349578,0.05114875605349578,0.0,False
2026,2026 — parcial (5 meses),5,CARTEIRA_ESTATICA,Carteira estática,0.053739602704215184,0.05114875605349578,0.002590846650719403,True
2026,2026 — parcial (5 meses),5,CDI_100,100% CDI,0.0566056848875105,0.05114875605349578,0.005456928834014718,True
